level_0,ObjID,FieldID,FieldMJD,AstRange(km),AstRangeRate(km/s),AstRA(deg),AstRARate(deg/day),AstDec(deg),AstDecRate(deg/day),Ast-Sun(J2000x)(km),Ast-Sun(J2000y)(km),Ast-Sun(J2000z)(km),Ast-Sun(J2000vx)(km/s),Ast-Sun(J2000vy)(km/s),Ast-Sun(J2000vz)(km/s),Obs-Sun(J2000x)(km),Obs-Sun(J2000y)(km),Obs-Sun(J2000z)(km),Obs-Sun(J2000vx)(km/s),Obs-Sun(J2000vy)(km/s),Obs-Sun(J2000vz)(km/s),Sun-Ast-Obs(deg),V(H=0,r,u-r,g-r,i-r,z-r,y-r,GS,FORMAT,q,e,incl,node,argperi,t_p,H,t_0,optFilter,seeingFwhmGeom,seeingFwhmEff,fiveSigmaDepth,fieldRA,fieldDec,rotSkyPos,MagnitudeInFilter,detectorID,detection_probability,AstrometricSigma(mas),PhotometricSigma(mag),SNR,AstrometricSigma(deg),dmagDetect,dmagVignet,AstRATrue(deg),AstDecTrue(deg),counter
50,S1000000a,907470,61789.32919,357558656.818,-19.148,164.29427328653344,-0.045459,-19.112624534129406,-0.046131,-395155431.802,210292920.795,-65563198.994,-7.496,-15.672,-2.547,-69920252.751,118838334.633,51510826.147,-26.804,-13.466,-5.668,16.087412,5.166,19.368401144114706,0.0,0.0,0.0,0.0,0.0,0.15,COM,3.01822,0.05208,22.56035,211.00286,335.42134,51575.94061,14.2,54800.0,r,0.7671199528044129,0.8699756116842007,23.975872574635417,164.99043640246796,-19.09523631317997,193.21404402018237,19.371307447945018,100.0,1.0,10.23444105844894,0.005125623540145573,211.3255881855807,2.8429002940135944e-06,0.0,9.897679121997762e-05,164.294271,-19.112623,23
51,S1000000a,908557,61791.28534,354359092.659,-18.783,164.20703287598587,-0.055658,-19.196164494179207,-0.039612,-396414342.233,207639748.839,-65992267.505,-7.4,-15.722,-2.531,-74391000.075,116559003.998,50522233.602,-26.391,-14.263,-6.029,15.773414,5.136,19.33809492520919,0.0,0.0,0.0,0.0,0.0,0.15,COM,3.01822,0.05208,22.56035,211.00286,335.42134,51575.94061,14.2,54800.0,r,0.7334516430357573,0.8290165973671013,24.274838974122353,164.29978468052363,-19.21804240513508,191.2019857489227,19.344172870603447,94.0,1.0,10.144034149163124,0.004194386016055523,258.354943466038,2.8177872636564234e-06,0.0,-0.0,164.207032,-19.196168,25
52,S1000000a,908607,61791.309709,354319613.571,-18.719,164.2056716120071,-0.055914,-19.197133018492725,-0.039241,-396429922.77,207606643.3,-65997595.558,-7.399,-15.723,-2.53,-74446498.383,116528936.27,50509535.802,-26.328,-14.298,-6.033,15.769301,5.135,19.337711571637453,0.0,0.0,0.0,0.0,0.0,0.15,COM,3.01822,0.05208,22.56035,211.00286,335.42134,51575.94061,14.2,54800.0,i,0.8879447655290182,1.0169644349501439,23.61115675549228,164.29978468052363,-19.21804240513508,219.01185407561405,19.33132736502023,94.0,1.0,10.476786942844083,0.006349064935990546,170.5077483310252,2.910218595234467e-06,0.0,-0.0,164.205672,-19.197129,25
53,S1000000a,909426,61792.356813,352639931.66,-18.344,164.15018514140286,-0.061228,-19.236082712551095,-0.034817,-397097030.076,206182873.052,-66226140.536,-7.348,-15.75,-2.522,-76803832.812,115248189.452,49955053.898,-25.92,-14.759,-6.224,15.594175,5.119,19.321362949444982,0.0,0.0,0.0,0.0,0.0,0.15,COM,3.01822,0.05208,22.56035,211.00286,335.42134,51575.94061,14.2,54800.0,r,0.7934977627439589,0.9020654047980036,24.18965524762364,165.28013497145716,-18.693190486492682,161.72568821457,19.321901834085185,152.0,1.0,10.182621570485598,0.004369361953659686,247.98883694828442,2.828505991801555e-06,0.0,0.018326840879785818,164.150187,-19.23608,26
54,S1000000a,909452,61792.370231,352618684.72,-18.31,164.14936173056844,-0.061152,-19.2365465370299,-0.034616,-397105548.417,206164612.579,-66229064.153,-7.347,-15.75,-2.522,-76833860.902,115231076.094,49947837.023,-25.883,-14.764,-6.226,15.591846,5.118,19.321151896329283,0.0,0.0,0.0,0.0,0.0,0.15,COM,3.01822,0.05208,22.56035,211.00286,335.42134,51575.94061,14.2,54800.0,i,0.854000016580148,0.9756691199271874,23.443661142847834,165.28013497145716,-18.693190486492682,169.28669463901215,19.32684428622241,149.0,1.0,10.537879385573241,0.0070198964233795895,154.16609784132004,2.927188718214789e-06,0.0,0.018392453423477634,164.149366,-19.236546,26
56,S1000000a,910850,61794.344133,349517110.318,-17.851,164.02984750832388,-0.071591,-19.298803911385043,-0.027405,-398350328.696,203474025.445,-66657755.296,-7.25,-15.8,-2.505,-81204886.443,112712802.354,48855779.653,-25.375,-15.576,-6.579,15.24981,5.087,19.290158404013663,0.0,0.0,0.0,0.0,0.0,0.15,COM,3.01822,0.05208,22.56035,211.00286,335.42134,51575.94061,14.2,54800.0,i,0.5644270682492372,0.6233905939771741,24.152812405407253,163.88569569472224,-19.377422499185425,270.4481776511072,19.284142341568256,97.0,1.0,10.093442739522352,0.004384176846275628,247.1491524165642,2.8037340943117646e-06,0.0,-0.0,164.029849,-19.298802,27
57,S1000000a,910872,61794.355685,349499309.589,-17.821,164.0290232752851,-0.071544,-19.299121564250115,-0.027227,-398357564.267,203458255.098,-66660255.803,-7.249,-15.801,-2.505,-81230195.193,112697253.611,48849212.671,-25.342,-15.582,-6.581,15.247711,5.087,19.289975247573096,0.0,0.0,0.0,0.0,0.0,0.15,COM,3.01822,0.05208,22.56035,211.00286,335.42134,51575.94061,14.2,54800.0,r,0.725536337080851,0.8193872713878966,24.31393631249655,163.88569569472224,-19.377422499185425,277.77671920461245,19.288921506350057,97.0,1.0,10.127232852364294,0.003983901066105648,272.03122126331334,2.8131202367678594e-06,0.0,-0.0,164.029022,-19.299118,27
58,S1000000a,913724,61798.326608,343535375.708,-16.754,163.72835575040938,-0.091633,-19.378462931712065,-0.011726,-400811117.988,198019854.849,-67514158.662,-7.053,-15.9,-2.472,-89718957.26,107217230.485,46473134.356,-24.165,-17.155,-7.264,14.513047,5.023,19.22707836299371,0.0,0.0,0.0,0.0,0.0,0.15,COM,3.01822,0.05208,22.56035,211.00286,335.42134,51575.94061,14.2,54800.0,g,0.7792513465926456,0.88473399828789,24.73706853695655,162.2129612771112,-18.636858345841816,282.63941757807066,19.227372197719703,182.0,1.0,10.084635968927593,0.003023431608098252,358.6074802083242,2.801287769146554e-06,0.0,0.06993679176468179,163.728356,-19.378464,28
59,S1000000a,913776,61798.351359,343499616.617,-16.69,163.72609133600088,-0.091517,-19.37874891320116,-0.011332,-400826199.339,197985850.913,-67519445.413,-7.051,-15.9,-2.472,-89770557.949,107180530.465,46457596.219,-24.094,-17.167,-7.268,14.50818,5.023,19.226682530881632,0.0,0.0,0.0,0.0,0.0,0.15,COM,3.01822,0.05208,22.56035,211.00286,335.42134,51575.94061,14.2,54800.0,r,0.7633623498180967,0.8654043185134996,24.250692954552516,162.2129612771112,-18.636858345841816,296.67727797294447,19.23061109702896,160.0,1.0,10.140742672774032,0.003983785717280851,272.0391122714634,2.816872964659453e-06,0.0,0.06960363133768432,163.726089,-19.378749,28
61,S1000000a,915246,61800.344153,340656174.57,-16.093,163.54577798662285,-0.101105,-19.394422860207452,-0.003131,-402031807.847,195243835.682,-67943636.029,-6.952,-15.949,-2.455,-93865644.508,104228584.826,45177833.639,-23.438,-17.924,-7.596,14.117733,4.991,19.19496879427643,0.0,0.0,0.0,0.0,0.0,0.15,COM,3.01822,0.05208,22.56035,211.00286,335.42134,51575.94061,14.2,54800.0,r,0.9780758134355928,1.1266129117221324,23.96941267734908,162.0635721181383,-18.898355290119376,218.5820438854547,19.18827284887116,163.0,1.0,10.308929603921083,0.004624328068763434,234.2882394862363,2.8635915566447457e-06,0.0,0.04698187396273085,163.545774,-19.394425,29
