ObjID,optFilter,number_obs,min_apparent_mag,max_apparent_mag,median_apparent_mag,min_phase,max_phase,object_linked,date_linked_MJD
2010_TC209,g,1,21.026750710561014,21.026750710561014,21.026750710561014,4.822674862328414,4.822674862328414,True,60259.0
2010_TC209,i,2,20.29375129212051,20.40413053999251,20.348940916056513,4.902659658311544,7.356710425955192,True,60259.0
2010_TC209,r,2,20.48274946153405,20.616263439969842,20.549506450751945,4.821141532804077,7.345792889497799,True,60259.0
2010_TC209,u,0,,,,,,,
2010_TC209,y,0,,,,,,,
2010_TC209,z,1,20.177433019467415,20.177433019467415,20.177433019467415,4.899566415675506,4.899566415675506,True,60259.0
2010_TU149,g,2,21.72508594092682,21.771060340480204,21.74807314070351,4.51926747894757,6.713317132331069,True,60234.0
2010_TU149,i,3,20.865612770953778,20.91203054719659,20.909425442169315,2.72399441659693,24.70404579388877,True,60234.0
2010_TU149,r,3,21.05999696440764,21.086549373061704,21.0698793664784,2.705921241205189,7.9060764137927855,True,60234.0
2010_TU149,u,0,,,,,,,
2010_TU149,y,6,20.77297630597309,21.138211421391254,20.97610953408948,4.614513540497914,24.808667860752312,True,60234.0
2010_TU149,z,3,21.12264474277362,21.21723498452941,21.17977257176856,13.051242279034357,24.76913955178594,True,60234.0
2011_OB60,g,7,22.979239977110094,23.24740850183273,23.092878485203713,0.3785543357265082,1.2668113261396663,True,60228.0
2011_OB60,i,18,22.204973044612043,22.652224113737855,22.526118976992294,0.3324387390222129,1.5654399545862143,True,60228.0
2011_OB60,r,11,22.476582337703892,22.824731802888287,22.647583496929077,0.3325287235959944,1.5011950631941984,True,60228.0
2011_OB60,u,0,,,,,,,
2011_OB60,y,3,22.39515351635929,22.6617984651283,22.493582617536184,0.4251751188154298,0.7650188663175267,True,60228.0
2011_OB60,z,12,22.3645905321364,22.700639864204156,22.539172971628652,0.332382296231826,1.474701545018114,True,60228.0
2011_YA42,g,55,21.98958712305062,23.238407020079244,22.66304207222668,5.779172614054357,16.858086742640825,True,60294.0
2011_YA42,i,112,21.0595643640107,22.371082803112014,21.809473333835115,4.27818434969482,16.858826689815466,True,60294.0
2011_YA42,r,117,21.273860281827627,22.573971865642143,21.99071667661969,4.279059016488774,16.858790856474158,True,60294.0
2011_YA42,u,3,23.450828810519727,24.400897711380956,24.02109091881653,4.786855583707535,16.284790293673883,True,60294.0
2011_YA42,y,97,21.023429727305814,22.18298039124183,21.83059949348961,4.289386839279333,16.62608710084763,True,60294.0
2011_YA42,z,83,21.378372710300912,22.462660632782782,22.106205636698885,4.288267265701839,16.42954705183178,True,60294.0
2012_HW1,g,4,21.302090851291428,21.87345174576696,21.307395534966652,18.24670580343892,23.79969452769924,True,60401.0
2012_HW1,i,12,19.887475763554356,22.351183243346483,20.769798840218204,15.42949257557402,32.983421429257994,True,60401.0
2012_HW1,r,7,20.559098573424546,21.431947204199673,20.75836150243446,16.941927704029318,25.05771192095638,True,60401.0
2012_HW1,u,1,22.781737185668288,22.781737185668288,22.781737185668288,18.286703173486703,18.286703173486703,True,60401.0
2012_HW1,y,7,20.23167632348259,22.00074359025232,20.388682879030203,15.835262453124116,30.45341831667901,True,60401.0
2012_HW1,z,8,20.530908831994974,22.261583263327697,22.099096757071454,15.42010672707605,30.443957146938168,True,60401.0
2013_CC263,g,6,23.249423138470622,24.014901585361418,23.715152898620367,2.6381200001685445,11.835215830024234,True,60380.0
2013_CC263,i,15,22.732375866530877,23.717113616866204,23.165712471508975,2.9141300061349544,16.497845905951344,True,60380.0
2013_CC263,r,17,22.73656946632429,23.85743411413136,23.315819248294556,2.5782284903062447,15.665773562139696,True,60380.0
2013_CC263,u,0,,,,,,,
2013_CC263,y,0,,,,,,,
2013_CC263,z,2,22.94511392043624,23.180375946851033,23.062744933643636,5.316408634145671,9.050496916057996,True,60380.0
2013_GD138,g,0,,,,,,,
2013_GD138,i,1,23.735631258294017,23.735631258294017,23.735631258294017,0.3175448407658521,0.3175448407658521,False,
2013_GD138,r,7,24.08168924471365,24.385502543774287,24.26605305039785,0.3181421303281229,1.4575778401376875,False,
2013_GD138,u,0,,,,,,,
2013_GD138,y,0,,,,,,,
2013_GD138,z,0,,,,,,,
