ObjID,FieldMJD_TAI,fieldRA,fieldDec,AstRA(deg),AstDec(deg),AstrometricSigma(deg),optFilter,observedPSFMag,observedTrailedSourceMag,PhotometricSigmaPSF(mag),PhotometricSigmaTrailedSource(mag),fiveSigmaDepth,fiveSigmaDepthAtSource
632,60328.25607,140.9158928,9.8725584,141.6375381,8.6246821,1.03e-05,i,22.49,22.487,0.079,0.079,23.619,23.579
632,60328.27895,140.9158928,9.8725584,141.6357805,8.6251214,1.76e-05,z,22.446,22.447,0.136,0.136,22.982,22.943
632,60328.30091,141.6678165,7.1548011,141.6340576,8.6255266,1.71e-05,z,22.404,22.541,0.134,0.133,23.006,22.962
632,60329.25425,142.8361496,7.6203923,141.5610599,8.6442065,9.4e-06,g,23.141,23.06,0.065,0.065,24.462,24.39
632,60329.27634,140.7371655,9.7972372,141.5593228,8.6446472,1.15e-05,r,22.654,22.59,0.072,0.072,23.83,23.794
39265,60334.32148,197.7877961,-29.3833258,197.6400347,-30.3513937,3e-06,y,18.365,18.352,0.009,0.009,22.138,22.13
632,60340.20234,140.7268621,9.0201761,140.6614091,8.8967231,1.04e-05,i,22.329,22.372,0.089,0.089,23.291,23.291
632,60340.22619,140.7268621,9.0201761,140.659335,8.8973516,1.37e-05,z,22.417,22.35,0.119,0.119,22.942,22.942
632,60344.19889,140.326146,7.7906532,140.314131,9.0038816,3.22e-05,g,23.111,22.827,0.111,0.111,23.583,23.563
632,60344.22355,140.326146,7.7906532,140.3119069,9.0045372,9.6e-06,r,22.381,22.385,0.061,0.061,23.802,23.782
632,60344.27773,140.326146,7.7906532,140.3070319,9.0060024,2.74e-05,i,22.373,22.334,0.121,0.121,22.894,22.875
632,60344.30139,140.326146,7.7906532,140.3049424,9.0066863,2.52e-05,z,22.474,22.42,0.152,0.152,22.616,22.596
632,60345.18926,140.2280447,8.5837329,140.2273252,9.0314006,1.23e-05,r,22.254,22.361,0.067,0.067,23.668,23.668
632,60346.16855,141.2076529,9.0398667,140.1413024,9.0590108,1.68e-05,r,22.346,22.319,0.079,0.079,23.477,23.466
39265,60347.27779,196.15222,-30.2579928,196.9513771,-31.5022239,2.8e-06,r,18.417,18.412,0.003,0.003,24.037,24.0
39265,60347.3024,196.15222,-30.2579928,196.9491825,-31.5041623,2.8e-06,i,18.226,18.22,0.003,0.003,23.744,23.707
632,60348.25993,140.0293005,8.965671,139.9570372,9.1190392,6.9e-06,r,22.363,22.377,0.049,0.049,24.011,24.011
632,60351.19376,139.8492054,8.6320566,139.6992602,9.2054729,7.2e-06,g,22.851,22.861,0.05,0.05,24.472,24.472
632,60351.21754,139.8492054,8.6320566,139.6971253,9.206183,5.7e-06,r,22.489,22.364,0.043,0.043,24.163,24.163
39265,60352.23668,196.3355205,-32.3333,196.4659405,-31.8646197,2.8e-06,r,18.377,18.37,0.002,0.002,24.407,24.407
39265,60352.26176,196.3355205,-32.3333,196.4630762,-31.8663488,2.8e-06,i,18.193,18.178,0.003,0.003,23.939,23.939
39265,60353.28126,195.4668897,-33.7291652,196.34772,-31.9345197,2.9e-06,i,18.166,18.17,0.005,0.005,23.464,22.721
39265,60355.27542,196.7281447,-30.4743488,196.1072976,-32.0612293,2.8e-06,g,18.996,18.997,0.003,0.003,24.853,24.771
39265,60355.30025,196.7281447,-30.4743488,196.1040673,-32.0627665,2.8e-06,r,18.35,18.344,0.002,0.002,24.432,24.35
39265,60357.22398,196.3576384,-32.7841511,195.8536226,-32.176252,2.8e-06,i,18.148,18.133,0.003,0.003,23.658,23.657
387449,60359.35542,208.4228825,3.2913902,209.5784791,2.9264942,1.37e-05,r,23.879,24.03,0.132,0.131,24.413,24.394
39265,60360.38293,194.0178912,-30.6989094,195.4024287,-32.3436573,2.9e-06,z,18.14,18.154,0.008,0.008,23.307,22.082
39265,60365.37202,196.0532032,-32.122392,194.5958753,-32.5564506,3e-06,y,18.112,18.115,0.008,0.008,22.034,22.008
39265,60365.38227,196.0532032,-32.122392,194.5940544,-32.5568114,2.9e-06,y,18.115,18.108,0.007,0.007,22.236,22.209
632,60366.12898,137.8508484,9.4076278,138.4492831,9.6657254,4.86e-05,y,21.753,22.396,0.334,0.333,21.801,21.801
632,60370.09209,138.6943069,11.5869371,138.1512692,9.78801,2.08e-05,g,23.015,23.153,0.142,0.142,23.945,23.487
632,60370.1794,138.6943069,11.5869371,138.1447334,9.7906599,1.54e-05,i,22.492,22.562,0.133,0.132,23.435,22.98
39265,60370.38419,192.6418095,-32.5378881,193.6751337,-32.701765,2.8e-06,i,18.027,18.014,0.004,0.004,23.121,23.116
39265,60370.39716,192.6418095,-32.5378881,193.6725769,-32.702028,2.9e-06,z,18.068,18.041,0.006,0.006,22.52,22.515
39265,60371.23101,195.2225231,-33.5546893,193.5100194,-32.7191832,2.8e-06,z,18.056,18.039,0.005,0.005,22.882,22.803
39265,60371.39162,195.2225231,-33.5546893,193.4775687,-32.7222014,2.8e-06,i,18.011,18.0,0.004,0.004,23.258,23.175
39265,60372.3968,193.6312686,-33.2358203,193.2764945,-32.7395758,2.8e-06,z,18.054,18.044,0.005,0.005,22.845,22.845
39265,60373.20796,193.6570145,-33.5014042,193.1122431,-32.7514313,2.8e-06,r,18.183,18.176,0.003,0.003,24.033,24.028
39265,60373.23276,193.6570145,-33.5014042,193.1070563,-32.7517778,2.8e-06,i,17.998,17.987,0.003,0.003,23.627,23.622
39265,60374.34722,192.1142191,-34.1159491,192.875708,-32.7646301,2.8e-06,i,17.987,17.977,0.003,0.003,23.839,23.79
39265,60374.37358,192.1142191,-34.1159491,192.8700938,-32.7648626,2.8e-06,z,18.036,18.027,0.004,0.004,23.095,23.047
39265,60376.33593,192.885252,-33.56991,192.4528818,-32.7780217,2.8e-06,g,18.804,18.792,0.002,0.002,24.822,24.817
39265,60376.35665,192.885252,-33.56991,192.448324,-32.7780873,2.8e-06,r,18.159,18.142,0.002,0.002,24.374,24.369
632,60377.11715,138.3540647,11.7507567,137.6751946,9.9984792,3.9e-05,r,22.568,22.791,0.162,0.162,23.379,22.927
632,60377.1176,135.9939995,10.2602506,137.6751594,9.9984948,2.69e-05,r,23.0,22.862,0.115,0.115,23.411,23.329
632,60377.1416,135.9939995,10.2602506,137.6736294,9.9991895,8.7e-06,i,22.68,22.534,0.076,0.076,23.784,23.703
387449,60377.2939,208.0727629,5.2920259,209.1115055,4.6019433,1.74e-05,r,23.439,23.736,0.134,0.133,24.138,24.116
39265,60377.34082,192.8842668,-33.5905256,192.2341006,-32.7800612,2.9e-06,u,20.288,20.265,0.008,0.008,24.238,24.23
39265,60377.36076,192.8842668,-33.5905256,192.2296523,-32.7800476,2.8e-06,r,18.145,18.134,0.003,0.003,23.995,23.987
387449,60378.30522,208.2165207,4.1568996,209.0293891,4.7083327,1.5e-05,g,24.258,24.23,0.123,0.122,24.697,24.689
387449,60378.32907,208.2165207,4.1568996,209.0272268,4.7108911,1.57e-05,r,23.847,23.739,0.126,0.125,24.184,24.176
387449,60378.34853,208.2165207,4.1568996,209.0254933,4.7129217,1.54e-05,r,23.587,23.754,0.125,0.124,24.192,24.184
387449,60378.36886,208.2165207,4.1568996,209.0236878,4.7151146,2.37e-05,i,23.194,23.197,0.181,0.18,23.643,23.635
39265,60381.34012,192.8817522,-32.219521,191.3328653,-32.7561895,2.8e-06,r,18.117,18.101,0.002,0.002,24.428,24.391
39265,60381.36258,192.8817522,-32.219521,191.3275975,-32.7558865,2.8e-06,i,17.925,17.908,0.002,0.002,23.902,23.865
387449,60383.37936,208.6704424,4.8872052,208.5336695,5.2513642,1.79e-05,r,23.52,23.335,0.134,0.133,24.036,24.036
632,60384.12581,137.578367,10.4153852,137.2810683,10.1951299,9e-06,r,22.785,22.814,0.067,0.067,24.041,24.041
39265,60386.31726,189.1435098,-33.8762317,190.1544677,-32.6542897,2.9e-06,y,17.91,17.903,0.007,0.007,22.14,22.093
39265,60386.34052,189.1435098,-33.8762317,190.148752,-32.6536024,3.1e-06,y,17.919,17.905,0.008,0.008,21.837,21.79
39265,60387.30137,189.3286377,-33.5336428,189.9156148,-32.624655,2.8e-06,z,17.933,17.908,0.003,0.003,23.337,23.327
39265,60387.32543,189.3286377,-33.5336428,189.9096547,-32.6238789,2.8e-06,i,17.868,17.856,0.003,0.003,23.48,23.47
39265,60391.14763,188.0056711,-32.6194137,188.9689205,-32.4789884,2.9e-06,y,17.89,17.87,0.007,0.007,22.118,22.115
39265,60391.17046,188.0056711,-32.6194137,188.9631437,-32.4780063,2.9e-06,y,17.896,17.878,0.007,0.007,22.136,22.133
39265,60397.31831,189.4241199,-31.6417974,187.4223035,-32.148435,2.9e-06,i,17.799,17.788,0.006,0.006,22.414,22.28
39265,60397.34127,186.1196704,-31.8560311,187.416452,-32.1469527,2.8e-06,z,17.858,17.844,0.005,0.005,22.586,22.572
39265,60398.32378,186.4026034,-30.9279057,187.1696468,-32.0836495,3.2e-06,z,17.848,17.843,0.007,0.007,21.96,21.932
39265,60398.34756,186.4026034,-30.9279057,187.1636026,-32.0820449,3.3e-06,y,17.838,17.826,0.01,0.01,21.498,21.47
632,60399.09371,137.5007909,9.6835542,136.7661044,10.5456542,1.57e-05,i,22.873,22.886,0.124,0.124,23.356,23.343
387449,60400.25601,206.6164126,7.128562,206.0496545,7.025176,3.21e-05,z,22.693,23.373,0.256,0.251,22.951,22.951
387449,60402.14847,205.0758992,5.9832784,205.7119652,7.2065072,1.71e-05,g,23.927,23.716,0.123,0.121,24.434,24.401
387449,60402.17179,206.1880626,8.5516011,205.7075844,7.2087013,2.01e-05,r,23.318,23.546,0.138,0.136,23.817,23.779
387449,60402.17224,205.0758992,5.9832784,205.7075137,7.2087743,1.88e-05,r,23.276,23.288,0.132,0.131,23.863,23.83
387449,60402.23086,206.1880626,8.5516011,205.6965391,7.2143032,1.45e-05,i,23.252,23.144,0.136,0.133,23.756,23.718
39265,60402.27983,187.5349786,-32.4817212,186.180056,-31.8006178,2.8e-06,z,17.858,17.825,0.003,0.003,23.313,23.283
39265,60402.30415,187.5349786,-32.4817212,186.1739271,-31.7987114,2.8e-06,y,17.853,17.821,0.005,0.005,22.481,22.451
39265,60403.26665,183.8319987,-31.7363243,185.9351245,-31.7232431,2.8e-06,i,17.794,17.773,0.003,0.003,23.627,23.46
39265,60403.2867,187.334917,-30.7222495,185.930085,-31.7216201,2.8e-06,i,17.799,17.777,0.003,0.003,23.679,23.619
39265,60403.29123,183.8319987,-31.7363243,185.9289389,-31.7212486,2.8e-06,z,17.842,17.82,0.004,0.004,22.985,22.83
632,60404.02987,136.6652419,10.7150041,136.7036302,10.6354004,1.48e-05,r,22.768,22.906,0.093,0.093,23.834,23.834
39265,60406.0599,185.645687,-30.2346361,185.2489927,-31.4902873,2.8e-06,r,17.986,17.965,0.002,0.002,24.317,24.29
387449,60406.2429,203.697998,7.108249,204.9544962,7.5774057,2.93e-05,g,23.752,23.763,0.152,0.151,24.14,24.111
632,60407.01185,137.9003026,10.4601787,136.6928976,10.6825893,1.01e-05,r,22.905,23.044,0.078,0.078,24.083,24.064
632,60407.03569,137.9003026,10.4601787,136.6928279,10.6829404,1.08e-05,i,22.938,22.841,0.094,0.094,23.755,23.735
39265,60407.22069,185.4166348,-30.6409676,184.9662385,-31.3877706,2.8e-06,g,18.643,18.618,0.002,0.002,24.81,24.807
39265,60407.24494,185.4166348,-30.6409676,184.9602671,-31.3855708,2.8e-06,r,17.988,17.97,0.002,0.002,24.258,24.255
39265,60407.27361,185.4166348,-30.6409676,184.9532209,-31.3829619,2.8e-06,r,17.992,17.973,0.002,0.002,24.335,24.331
39265,60407.29748,185.4166348,-30.6409676,184.9473679,-31.3807857,2.8e-06,i,17.799,17.779,0.002,0.002,23.744,23.74
39265,60408.09423,183.5202571,-31.2328893,184.7561276,-31.3084265,3.1e-06,u,20.099,20.105,0.01,0.01,23.799,23.788
39265,60408.11845,183.5202571,-31.2328893,184.7502063,-31.3062244,2.8e-06,r,17.986,17.973,0.002,0.002,24.147,24.136
387449,60410.26805,204.6843632,8.5256584,204.1885984,7.9080274,1.13e-05,r,23.275,23.43,0.097,0.095,24.198,24.195
387449,60410.29183,204.6843632,8.5256584,204.1839057,7.9098456,1.5e-05,i,23.337,23.428,0.134,0.131,23.72,23.718
39265,60411.22278,183.7822018,-31.9683561,184.0139413,-31.0101316,2.8e-06,g,18.657,18.627,0.002,0.002,24.927,24.919
39265,60411.24696,183.7822018,-31.9683561,184.0082029,-31.0077236,2.8e-06,r,18.004,17.982,0.002,0.002,24.312,24.304
387449,60412.21638,202.1961898,7.8606109,203.814829,8.0541509,1.28e-05,r,23.225,23.18,0.106,0.104,24.172,24.102
387449,60412.21862,205.1318972,8.585858,203.8144038,8.0543291,1.21e-05,r,23.348,23.31,0.101,0.1,24.191,24.154
387449,60412.24264,205.1318972,8.585858,203.8096303,8.0560556,2.19e-05,i,22.834,23.099,0.158,0.156,23.546,23.51
39265,60413.1022,182.1016585,-29.847999,183.5801303,-30.8210812,2.8e-06,r,18.019,17.99,0.002,0.002,24.397,24.329
39265,60414.22217,181.6621325,-31.2405931,183.3252401,-30.7051654,2.9e-06,r,18.003,17.998,0.003,0.003,23.376,23.323
