ObjID,FieldID,fieldMJD_TAI,fieldJD_TDB,Range_LTC_km,RangeRate_LTC_km_s,RA_deg,RARateCosDec_deg_day,Dec_deg,DecRate_deg_day,Obj_Sun_x_LTC_km,Obj_Sun_y_LTC_km,Obj_Sun_z_LTC_km,Obj_Sun_vx_LTC_km_s,Obj_Sun_vy_LTC_km_s,Obj_Sun_vz_LTC_km_s,Obs_Sun_x_km,Obs_Sun_y_km,Obs_Sun_z_km,Obs_Sun_vx_km_s,Obs_Sun_vy_km_s,Obs_Sun_vz_km_s,phase_deg
356450,20824,60247.057558460634,2460247.557930982,5725151938.317395,13.388960479506018,10.90246726229894,-0.0181387305403675,-2.4639762563315912,-0.00659338312834,5736781696.378986,1162030826.693961,-211373933.7779024,-1.1313261845452929,4.254584778702603,1.338372709047514,120163148.46435274,80189740.7191882,34757471.649486415,-17.912199466753876,22.385428008747542,9.53220738190948,0.6759054530923774
356450,21804,60248.166686988116,2460248.667058983,5726474622.202537,14.17922758632514,10.88275630693616,-0.0179534136789994,-2.471205987899388,-0.0064444189070033,5736673269.483889,1162438514.8533597,-211245684.85129607,-1.1317098274811463,4.25449548282681,1.338379921307023,118415733.25677104,82286109.87762687,35664495.94736872,-18.64832367327731,22.035086175415163,9.397533169878283,0.7002067622229255
356450,21854,60248.19073114269,2460248.6911039827,5726504150.31822,14.246925398643963,10.88232448492044,-0.0179297653770953,-2.4713608828967857,-0.0064393596657214,5736670918.472408,1162447353.096748,-211242904.51422697,-1.1317181433608825,4.254493546119082,1.3383800773071486,118376926.9822276,82331847.88470748,35684016.24913722,-18.709696776467908,21.995644184756458,9.394680972428544,0.7007369718106252
356450,24559,60259.046669056705,2460259.5470419847,5741971511.038265,18.71291043075872,10.703128670615124,-0.0155754535764928,-2.533350177432973,-0.004932954955477,5735607718.97031,1166437238.2765222,-209987603.0443572,-1.1354673613124089,4.253615861126999,1.3384491228089743,99045469.14958726,101078964.50099416,43812684.52253711,-22.61154513365911,18.580183431345823,7.881690849842381,0.9250367397525956
356450,24609,60259.07107727758,2460259.571449985,5742011048.031565,18.783575574732037,10.702748070992916,-0.0155791874522261,-2.5334705090926715,-0.0049270515242341,5735605324.578454,1166446207.9579682,-209984780.6299768,-1.1354757789084116,4.253613881187684,1.3384492752820183,98997710.54506212,101118139.89784138,43829301.998675816,-22.68193580957079,18.57153698007698,7.878051584706262,0.9255161551311486
356450,25231,60260.008427250825,2460260.5087999846,5743551971.331358,19.020784081652575,10.688586854019052,-0.0152987125969521,-2.5380198537743883,-0.0047887292103176,5735513358.464716,1166790670.6739264,-209876390.2008099,-1.13579900251275,4.25353782546439,1.3384551227285395,97149728.88998008,102574003.42043956,44461403.31998351,-22.85853388069841,18.216617122019755,7.731234298232925,0.9435112407699756
356450,25232,60260.008873597166,2460260.5092459847,5743552704.309715,19.021962430086717,10.688580024015462,-0.0152990520930554,-2.5380219895249274,-0.0047886244911877,5735513314.700125,1166790834.5711334,-209876338.6274886,-1.135799156286954,4.253537789267458,1.33845512550714,97148848.02605236,102574705.39040267,44461701.23724431,-22.85976763278043,18.216789661174907,7.731166504251547,0.943519871670176
356450,25255,60260.02096087242,2460260.521332985,5743572586.157584,19.05443400775983,10.68839487095666,-0.0153073186248671,-2.538079852394903,-0.0047857664636567,5735512128.638616,1166795276.33032,-209874940.94468537,-1.1358033236975622,4.253536808295331,1.338455200808348,97124957.60909332,102593731.5197736,44469774.06521817,-22.89353085347454,18.22030110953488,7.729329815161522,0.9437538155369098
356450,25256,60260.02140743012,2460260.5217799847,5743573322.079405,19.055653640615834,10.688388021807022,-0.0153075893339418,-2.538081991608315,-0.0047856600666546,5735512084.775758,1166795440.5948682,-209874889.2557578,-1.135803477815957,4.2535367720170285,1.338455203593079,97124073.41847116,102594435.20392124,44470072.576749,-22.89479041306181,18.220387585416415,7.729261910005405,0.943762468524808
356450,25603,60260.18335211523,2460260.6837249845,5743843188.106321,19.51144710362522,10.685908145761696,-0.0152301782427595,-2.538853816834567,-0.0047465032193391,5735496193.183878,1166854952.3753262,-209856162.71940285,-1.135859312638079,4.253523628094691,1.3384562122534998,96800567.88288726,102848633.33934836,44578048.45977788,-23.32707191663782,18.049080438073496,7.7045762355297,0.9468947461646884
356450,25653,60260.20709263982,2460260.7074649846,5743883267.1413765,19.56739229449652,10.685546679408342,-0.0151910242887136,-2.5389664347608254,-0.0047411402585664,5735493863.52437,1166863676.3617656,-209853417.54175708,-1.1358674974278369,4.253521701197249,1.3384563600778518,96752671.81262414,102885599.24774168,44593847.8407471,-23.3737701937136,17.994284851128867,7.700914148866618,0.9473519251214064
356450,28211,60264.018267942345,2460264.5186399855,5750481321.900267,20.635970021274705,10.630572400637138,-0.0142198053829141,-2.5559337771006283,-0.004153306961587,5735119647.383697,1168264155.154589,-209412708.69228,-1.1371808196646915,4.253212071700344,1.3384799730148702,88956127.03030269,108494814.85478614,47028084.30863015,-24.234488630229716,16.72420792163782,7.078449873251817,1.0177015171308692
356450,28212,60264.018716070714,2460264.5190889854,5750482122.468695,20.63720544065207,10.630566009539663,-0.014220017802078,-2.5559356419101555,-0.0041531956220422,5735119603.2713785,1168264320.140643,-209412656.77139223,-1.137180974313794,4.253212035190338,1.3384799757836765,88955186.86289914,108495463.64728466,47028358.905726455,-24.235751798418093,16.724226519298217,7.0783770920196565,1.0177096801289378
356450,28236,60264.03084488213,2460264.5312169855,5750503765.008361,20.67096840890632,10.630393346668344,-0.0142247629068955,-2.5559859935679596,-0.0041501733223815,5735118411.745164,1168268776.6013503,-209411254.3290303,-1.137185151555617,4.253211049010784,1.3384800505711882,88929773.26625255,108512988.11712672,47035775.01847828,-24.270045233906988,16.72352328186778,7.0764114511017935,1.017930191735942
356450,28237,60264.03129393577,2460264.5316659855,5750504566.935044,20.672231747095076,10.63038695335905,-0.0142249015026025,-2.5559878569702463,-0.0041500609227947,5735118367.632683,1168268941.5873451,-209411202.4081456,-1.137185306204213,4.25321101250058,1.3384800533399128,88928831.71925372,108513636.88133116,47036049.53649717,-24.271320049596643,16.723452454077655,7.076338686544969,1.0179383560545865
