ObjID,FieldMJD_TAI,fieldRA,fieldDec,AstRA(deg),AstDec(deg),AstrometricSigma(deg),optFilter,observedPSFMag,observedTrailedSourceMag,PhotometricSigmaPSF(mag),PhotometricSigmaTrailedSource(mag),fiveSigmaDepth,fiveSigmaDepthAtSource
39265,60347.2776,196.15222,-30.2579928,196.9513594,-31.5022496,2.8e-06,r,18.42,18.42,0.003,0.003,24.037,24.0
39265,60347.3022,196.15222,-30.2579928,196.9491639,-31.5041881,2.8e-06,i,18.224,18.218,0.003,0.003,23.744,23.707
39265,60352.23648,196.3355205,-32.3333,196.4659185,-31.8646395,2.8e-06,r,18.38,18.371,0.002,0.002,24.407,24.407
39265,60352.26156,196.3355205,-32.3333,196.4630574,-31.8663764,2.8e-06,i,18.188,18.181,0.003,0.003,23.939,23.939
39265,60355.27522,196.7281447,-30.4743488,196.1072659,-32.0612429,2.8e-06,g,19.0,18.993,0.003,0.003,24.853,24.771
39265,60355.30005,196.7281447,-30.4743488,196.1040521,-32.062781,2.8e-06,r,18.358,18.345,0.002,0.002,24.432,24.35
39265,60357.22379,196.3576384,-32.7841511,195.8536018,-32.1762717,2.8e-06,i,18.146,18.133,0.003,0.003,23.658,23.657
39265,60370.38399,192.6418095,-32.5378881,193.6751046,-32.7017645,2.8e-06,i,18.026,18.007,0.004,0.004,23.121,23.116
39265,60370.39696,192.6418095,-32.5378881,193.6725355,-32.7020381,2.9e-06,z,18.064,18.057,0.006,0.006,22.52,22.515
39265,60371.23081,195.2225231,-33.5546893,193.5099731,-32.7191926,2.8e-06,z,18.061,18.063,0.005,0.005,22.882,22.803
39265,60371.39142,195.2225231,-33.5546893,193.4775296,-32.722207,2.8e-06,i,18.02,18.002,0.004,0.004,23.258,23.175
39265,60372.3966,193.6312686,-33.2358203,193.2764555,-32.7395892,2.8e-06,z,18.049,18.043,0.005,0.005,22.845,22.845
39265,60373.20776,193.6570145,-33.5014042,193.112206,-32.7514353,2.8e-06,r,18.187,18.176,0.003,0.003,24.033,24.028
39265,60373.23256,193.6570145,-33.5014042,193.1070159,-32.7517883,2.8e-06,i,17.997,17.982,0.003,0.003,23.627,23.622
39265,60374.34702,192.1142191,-34.1159491,192.8756665,-32.7646383,2.8e-06,i,17.99,17.976,0.003,0.003,23.839,23.79
39265,60374.37338,192.1142191,-34.1159491,192.870055,-32.7648701,2.8e-06,z,18.036,18.022,0.004,0.004,23.095,23.047
39265,60376.33574,192.885252,-33.56991,192.4528367,-32.7780312,2.8e-06,g,18.815,18.796,0.002,0.002,24.822,24.817
39265,60376.35645,192.885252,-33.56991,192.448278,-32.778085,2.8e-06,r,18.168,18.145,0.002,0.002,24.374,24.369
