a e inc Omega argPeri meanAnomaly epoch H MOID objId g sed_filename
1.81032181 0.457012266 8.52469063 321.309082 218.878296 194.936127 59853.0 24.9029942 0.031218978676863494 242880 0.15 S.dat
1.39049709 0.458397567 43.3037987 232.109802 241.479919 91.1170349 59853.0 24.4742165 0.12178129396982015 175331 0.15 S.dat
1.65742993 0.493258268 5.16465139 302.836609 266.81219500000003 161.882599 59853.0 23.124664300000006 0.0069733030389019296 647396 0.15 S.dat
2.07343841 0.55492866 10.4931965 185.436066 139.102676 261.443756 59853.0 24.706829100000004 0.08510337238157846 492747 0.15 S.dat
1.33862102 0.133786723 39.04102329999999 341.855743 186.264435 40.9884872 59853.0 24.6075134 0.16862035015795535 546031 0.15 S.dat
2.50249434 0.566515267 19.0356712 97.0174789 218.926788 166.932953 59853.0 24.6232204 0.3038149907203529 4025 0.15 C.dat
1.7227999 0.50046432 3.56287003 293.6763 18.3224373 208.942337 59853.0 23.964277300000006 0.012380325310302396 718953 0.15 S.dat
1.96237504 0.915926218 64.9203262 332.061371 112.695526 52.3677902 59853.0 24.7737236 0.20079369655541127 16066 0.15 S.dat
2.76030922 0.7411542529999999 23.5016785 101.495247 53.0110397 65.3729782 59853.0 24.8747463 0.03967342686529465 77455 0.15 S.dat
1.32526493 0.418287784 17.596117 326.022034 171.142517 160.711502 59853.0 24.5729389 0.15538613358186798 733869 0.15 S.dat
1.35472465 0.329965591 35.42082979999999 7.08526993 151.23053000000004 52.5575333 59853.0 23.746412300000006 0.07929315211417645 304568 0.15 S.dat
2.24503326 0.551949739 33.4547882 269.364685 70.9258118 306.3435970000001 59853.0 24.1494694 0.3599048352252895 729902 0.15 S.dat
1.61830306 0.56553328 25.334844600000004 150.30561799999995 65.3101883 196.669571 59853.0 24.9026413 0.24829975261349926 428453 0.15 S.dat
1.69168079 0.374264866 34.0064354 147.064194 349.333252 182.361298 59853.0 24.5842781 0.1103983129931518 640545 0.15 S.dat
2.50072098 0.720848382 8.60485268 114.167213 219.187653 224.011765 59853.0 23.6321259 0.017513149107200896 483833 0.15 C.dat
1.25280249 0.58029449 14.2441874 300.817108 24.9502087 100.139198 59853.0 24.2634888 0.054308152927395596 144794 0.15 S.dat
1.85699356 0.47241196 8.94110775 114.445351 160.032944 275.281494 59853.0 24.494831100000006 0.08273620563998288 703485 0.15 S.dat
1.42598736 0.31452605100000003 26.1170216 119.424347 191.692337 179.611801 59853.0 24.4785156 0.09787976050372384 365931 0.15 S.dat
2.38748431 0.886687219 16.6350937 292.352783 275.571991 317.5043330000001 59853.0 24.4765034 0.05022537488833998 563591 0.15 S.dat
2.59783483 0.512372077 34.6424141 342.741486 157.77520800000005 243.531052 59853.0 24.9362049 0.2922918213024929 461451 0.15 C.dat
1.26020479 0.616972446 24.896953600000003 154.443512 260.370636 145.878601 59853.0 23.6464825 0.2788431969432265 729751 0.15 S.dat
2.1283988999999996 0.527702391 12.6534271 160.07513400000005 64.32769010000001 125.416237 59853.0 24.6611843 0.012223696938968829 452361 0.15 S.dat
1.66169477 0.47911635 35.2059479 350.033112 312.01767 22.460186 59853.0 24.7703781 0.14389565119595504 587444 0.15 S.dat
2.78102541 0.564256668 37.0634575 79.3707733 332.840363 109.783096 59853.0 24.4438839 0.5214212914566198 693981 0.15 C.dat
1.53290665 0.7888214590000001 19.0757065 90.3585663 197.360764 26.3123302 59853.0 22.8095284 0.16152533830636145 637461 0.15 S.dat
1.24536943 0.7495508790000001 32.507946000000004 296.801453 268.647675 18.2108688 59853.0 24.743433 0.078447192129621 124916 0.15 S.dat
2.4937799 0.819200754 43.9483681 159.31526200000005 301.780853 161.826859 59853.0 21.143055 0.5084953817790535 471398 0.15 C.dat
2.84299445 0.5812350510000001 12.3186922 93.9827576 183.530624 22.7417526 59853.0 24.6057072 0.2919024960782518 734850 0.15 S.dat
0.8045939209999999 0.103347123 24.1927223 112.103424 272.517792 236.83255 59853.0 24.6460037 0.18362810901939366 588807 0.15 S.dat
1.69452167 0.321473092 45.3069801 66.8428574 190.313126 133.410446 59853.0 24.8706284 0.32259437364385146 189882 0.15 S.dat
2.26548314 0.6858766079999999 11.4164705 102.610825 185.336288 351.907654 59853.0 24.0639114 0.013189738342075293 593115 0.15 S.dat
2.38329864 0.486986965 3.02424765 233.388641 56.3144379 329.437469 59853.0 23.9555187 0.21129123498358587 234782 0.15 C.dat
2.42725563 0.6505538820000001 78.54672240000002 335.274139 281.790924 12.046701400000002 59853.0 23.6187305 0.13485123370430768 526120 0.15 C.dat
2.13337946 0.65604943 13.6831388 327.21521 236.576538 75.61324309999998 59853.0 24.1019058 0.1400968578445686 507967 0.15 S.dat
2.04656076 0.7033999559999999 7.2013731 148.865005 296.647308 135.650101 59853.0 20.707655 0.10151088061008663 434653 0.15 S.dat
3.5970161 0.8068621159999999 12.7905779 232.018707 131.764557 178.385727 59853.0 24.2878647 0.0755812641721059 411275 0.15 S.dat
2.39024186 0.809313297 16.1991959 79.8217926 173.541946 191.47847 59853.0 24.1175117 0.012575628450423159 585402 0.15 S.dat
2.47566891 0.612311959 19.0952225 179.369202 194.971695 309.721924 59853.0 20.1013718 0.03940336791961471 694994 0.15 C.dat
1.71086013 0.527086556 47.2175407 64.773674 180.74675 167.11731 59853.0 24.860899 0.014490192522361143 417071 0.15 S.dat
1.66103768 0.7421454190000001 1.86543393 267.647339 113.949478 39.78350070000001 59853.0 24.826866100000004 0.00922435129864507 438207 0.15 S.dat
2.10936141 0.7987002129999999 9.85304356 42.0587234 195.64949 141.14212 59853.0 24.823595 0.08664191499102451 76033 0.15 S.dat
2.51760674 0.7276542779999999 22.3137283 160.376419 131.772842 113.670036 59853.0 23.8560352 0.2656947848926464 479119 0.15 S.dat
2.06583333 0.487551391 35.7831612 99.76548 242.018326 118.216766 59853.0 24.6394024 0.3569310265468846 390526 0.15 S.dat
2.56879592 0.634404182 19.3220196 172.26591499999995 260.715912 61.2063484 59853.0 24.4043026 0.041328711781266 669907 0.15 S.dat
