ObjID,fieldMJD_TAI,fieldRA_deg,fieldDec_deg,RA_deg,Dec_deg,astrometricSigma_deg,optFilter,trailedSourceMag,trailedSourceMagSigma,fiveSigmaDepth_mag,phase_deg,Range_LTC_km,RangeRate_LTC_km_s,Obj_Sun_LTC_km
2011_OB60,60225.247167832895,2.8340797698367206,-12.194064864430457,1.982534296810926,-11.895500902356073,7.0910440636745896e-06,i,22.405453665642586,0.05974632183374371,23.81138364359874,0.5514817999986135,5381383125.387404,8.911915578877318,5521380087.380547
2011_OB60,60225.27094733885,2.8340797698367206,-12.194064864430457,1.9820704796417057,-11.89569416714855,1.8487717340163376e-05,z,22.395460738601283,0.13135219075103116,22.882544853216416,0.5519796260390172,5381401497.169531,8.97080752838704,5521379222.025585
2011_OB60,60225.28270233429,2.8340797698367206,-12.194064864430457,1.9818415407810293,-11.895789595903436,1.2861317778438369e-05,z,22.395464252396735,0.11090650032717934,23.080845604152604,0.5522255378361196,5381410622.076189,8.997841722172684,5521378794.264774
2011_OB60,60225.30641686526,2.8340797698367206,-12.194064864430457,1.9813804587756008,-11.895981912051504,4.724524829478861e-05,y,22.39547137305404,0.3075345402875142,21.854878976431053,0.5527212408257581,5381429109.804284,9.047599761381594,5521377931.327783
2011_OB60,60227.24471872862,1.830365601304555,-10.653419743409385,1.9443773940190925,-11.911538479375157,1.1686448783221368e-05,r,22.516064852852338,0.06840780657411344,23.76431760934832,0.5935042415151563,5382968826.15225,9.890025300678886,5521307433.959651
2011_OB60,60227.26843110208,1.830365601304555,-10.653419743409385,1.943919930457842,-11.911724231821491,9.860031946443983e-06,i,22.40607271205038,0.07441832519188699,23.55633160751932,0.5940109809940466,5382989149.155544,9.947948466097015,5521306571.945892
2011_OB60,60228.23229500716,1.5853750239774231,-12.795350891587582,1.925678063257945,-11.919248943377813,3.5961168382860196e-05,y,22.39639178473382,0.25056959744632584,22.110108666597625,0.6145450893907975,5383814332.069595,10.346446273490267,5521271542.660579
2011_OB60,60228.254680823695,1.5853750239774231,-12.795350891587582,1.925248472788918,-11.919421044674811,5.4957212280177177e-05,y,22.396399558256206,0.31059359603937814,21.843363734675382,0.6150270000561023,5383834398.366232,10.403185456252476,5521270729.343532
2011_OB60,60229.23294578834,1.7408953022743148,-11.367447303472217,1.9068469313574328,-11.926909259605251,6.088378164567229e-06,g,22.996739776797753,0.04673821722030131,24.689706821972628,0.6359887102556817,5384712639.639867,10.834079085565069,5521235195.229505
2011_OB60,60229.25681096732,1.7408953022743148,-11.367447303472217,1.9063920582762504,-11.9270890197765,1.1096358442208656e-05,r,22.516748469691983,0.06677155326842715,23.793181284412043,0.6365049629738068,5384735041.111703,10.893604849187671,5521234328.595441
