,ccdVisitId,visitID,ra,decl,llcra,llcdec,ulcra,ulcdec,urcra,urcdec,lrcra,lrcdec
37,221579037,221579,52.7898537,-43.3894765,52.642751,-43.5064675,52.6315248,-43.2804411,52.9364479,-43.2722461,52.9487723,-43.4982835
38,221579038,221579,52.7774181,-43.1544965,52.6308336,-43.2715397,52.619726,-43.0454424,52.9235039,-43.0372304,52.9357131,-43.2633391
39,221579039,221579,53.1263021,-43.6145865,52.979282,-43.7319927,52.9667067,-43.5060582,53.2728069,-43.4969406,53.2864709,-43.7228713
40,221579040,221579,53.1124217,-43.3799689,52.9659066,-43.4974306,52.953461,-43.2713969,53.2584189,-43.2622797,53.2719637,-43.4883106
41,221579041,221579,53.0990557,-43.1459008,52.9529872,-43.2633602,52.9407895,-43.0372477,53.2446137,-43.0282263,53.2579107,-43.2543364
42,221579042,221579,53.4500771,-43.6048197,53.3035916,-43.7226453,53.2899444,-43.496712,53.5960402,-43.4867642,53.6107828,-43.7126804
43,221579043,221579,53.4352741,-43.3700641,53.2893272,-43.4879576,53.2757426,-43.2619267,53.5806931,-43.2519488,53.59538,-43.477966
44,221579044,221579,53.4205121,-43.1355882,53.2750829,-43.2535223,53.2615998,-43.027419,53.5654173,-43.0174434,53.5799953,-43.2435308
45,221579045,221579,52.7656044,-42.9186919,52.6195707,-43.035797,52.6085048,-42.8096546,52.9111334,-42.8013749,52.9232977,-43.0275258
46,221579046,221579,52.7540693,-42.6841686,52.6084748,-42.8012436,52.5976684,-42.5750814,52.8991571,-42.5668852,52.9110706,-42.793058
47,221579047,221579,52.7416863,-42.4494479,52.5966501,-42.5665625,52.5858648,-42.340415,52.8862175,-42.332139,52.8980954,-42.5582948
48,221579048,221579,53.0856447,-42.9094879,52.9401677,-43.0270258,52.9279319,-42.8008749,53.2306082,-42.7917404,53.2439374,-43.0178874
49,221579049,221579,53.0727059,-42.6747836,52.9277113,-42.7923155,52.9156504,-42.5661431,53.2171931,-42.5570531,53.2303367,-42.7832192
50,221579050,221579,53.059391,-42.4399893,52.9149225,-42.5575328,52.9029561,-42.331377,53.2033462,-42.3222603,53.2164139,-42.5484135
51,221579051,221579,53.4060173,-42.8992566,53.2611262,-43.0172266,53.2477139,-42.7910821,53.5503798,-42.7810811,53.5648954,-43.0072111
52,221579052,221579,53.391763,-42.6646569,53.2473172,-42.7825915,53.2341545,-42.5564238,53.5356921,-42.5465358,53.5499458,-42.7726872
53,221579053,221579,53.3773438,-42.4304007,53.2334585,-42.5483601,53.2203084,-42.3222079,53.5207022,-42.3122557,53.5349532,-42.5383914
54,221579054,221579,52.729137,-42.2136019,52.5845617,-42.3306721,52.5740015,-42.1045645,52.8732107,-42.0963472,52.8848694,-42.322466
55,221579055,221579,52.7179813,-41.9790638,52.5739372,-42.0961268,52.5634636,-41.8700891,52.8615166,-41.8618279,52.8731084,-42.0878754
56,221579056,221579,52.7067822,-41.7444302,52.563214,-41.8614309,52.552924,-41.6354889,52.849846,-41.6272678,52.8612348,-41.8532237
57,221579057,221579,53.0457181,-42.2040023,52.9016887,-42.3214791,52.8899861,-42.0953587,53.1892322,-42.0863467,53.2020382,-42.3124666
58,221579058,221579,53.0333459,-41.9696449,52.8898549,-42.0871087,52.8782146,-41.8610628,53.1763253,-41.8520113,53.1890587,-42.0780581
59,221579059,221579,53.0204765,-41.7352532,52.8775084,-41.8526832,52.8659731,-41.626731,53.1629376,-41.6176694,53.1755733,-41.8436164
60,221579060,221579,53.3628204,-42.1941563,53.2194059,-42.3120652,53.2064632,-42.0859486,53.505716,-42.0760782,53.5197492,-42.3021771
61,221579061,221579,53.3491336,-41.9594226,53.2062396,-42.0773007,53.1933966,-41.8512548,53.4915024,-41.8413806,53.505443,-42.0674091
62,221579062,221579,53.3348817,-41.7252714,53.1925061,-41.8431056,53.1797709,-41.6171592,53.4767345,-41.6072888,53.4905684,-41.8332229
