ObjID,H_r
2013 VZ71,8.22708
2013 TO187,8.01066
2014 QC442,6.09988
2013 SO102,7.5571
2006 QQ180,6.59179
2013 SN112,7.0367
2012 TC324,6.6147
2013 TM159,6.77729
2013 SP102,6.08495
2013 SQ102,6.31495
2013 SR102,5.89337
2013 SO112,7.16545
2013 SP112,7.63994
2013 SQ112,8.27942
2013 SR112,7.57991
2013 SS112,8.12723
2013 ST112,7.38481
2013 SU112,7.7893
2013 SV112,7.71794
2013 SW112,7.40933
2013 SX112,7.84614
2013 SY112,8.71652
2013 SZ112,7.47468
2013 SA113,7.83914
2015 RN278,8.46301
2001 QS322,7.17644
2013 SD106,6.48528
2013 SB113,7.48698
2013 SE106,7.12655
2013 SH102,7.32355
2013 SC113,8.38732
2013 SD113,7.59926
2013 SE113,8.40943
2016 QZ133,6.74916
2013 SF113,7.92056
2013 VZ31,6.42454
2013 TK227,9.45776
2016 SU55,7.92855
2013 QP95,7.26516
2014 QO441,8.19353
2013 TN229,7.82569
2012 VS113,7.14272
2013 RD98,7.22159
2013 TL227,8.30045
2013 TM227,8.5603
2013 TO229,7.26524
2011 SW281,6.44339
2013 TN227,7.14842
2013 TK187,7.00377
2013 TO227,7.08725
2013 TY187,6.63615
2016 SE56,7.12411
2013 TP227,7.80725
2013 VN46,8.47565
2013 TE188,8.33755
2014 QU495,7.95979
2013 TQ227,7.82478
2013 TP187,7.01888
2013 TR227,7.75941
2013 TR187,7.67687
2013 TJ172,7.01469
2013 TQ187,7.17048
2013 TZ187,8.22453
2013 TS227,8.20682
2013 VA72,8.06755
2013 TT187,7.0745
2016 SS55,6.55738
2016 SV58,8.06274
2016 SG58,7.35115
2016 SY56,7.53914
2016 SC59,7.77018
2014 UW276,9.08906
2013 TD172,7.08837
2001 QE298,7.60521
2013 TT227,8.31408
2013 TS229,7.56664
2013 TL187,8.66586
2013 TU227,7.87246
2013 TV227,8.14718
2014 UD241,7.04561
2014 UX276,7.51028
2015 TW361,7.22779
2013 TW227,8.09708
2013 TX227,7.87294
2013 TK172,6.87342
2013 TY227,8.00051
2013 TZ227,7.00899
2015 TL361,7.61648
2013 TA228,7.62451
2014 TM95,8.15394
2015 TS363,8.34742
2015 TJ363,6.81982
2014 TC115,7.39306
2013 TA188,8.46808
2013 VB72,7.26012
2013 VC72,8.81016
2013 TB188,8.14253
2013 TB228,8.74124
2013 TY171,7.35817
2013 TC228,7.33614
2016 RX81,7.65542
2013 TD228,8.55526
2015 PD312,7.863
2013 TE228,6.75233
2014 VK43,7.40054
2013 VD72,8.47226
2013 TF228,7.74154
2013 TG228,8.01742
2008 SO266,6.38103
2013 TE172,7.39179
2016 SK56,7.28012
2012 VR113,6.58739
2013 VR46,7.13603
2013 TH228,8.01945
2013 TJ228,8.05655
2013 TV187,7.13004
2013 TH172,7.74847
2017 QU131,8.24105
2013 TP229,7.84996
2013 RB98,6.81687
2014 OD394,5.60559
2014 VB41,7.26993
2014 TD115,7.71716
2014 TE115,7.63667
2016 QL134,7.72083
2013 TK228,7.52268
2013 TL228,7.24972
2013 TB187,7.9626
2013 TM228,7.77963
2013 TN228,7.62946
2013 TF188,7.57328
2014 VL43,7.38843
2014 UA225,6.8746
2013 TW187,7.53676
2013 TO228,7.2047
2013 VW71,7.25401
2013 TL172,6.93669
2013 TP228,6.94623
2013 TM172,7.79295
2013 TD188,6.86659
2013 TQ229,8.08788
2013 TQ228,7.99633
2013 TR228,7.31296
2001 QP297,6.95744
2013 TS228,7.47528
2003 QV90,7.18059
2013 TT228,7.89221
2013 TU228,7.10539
2013 TC187,7.25047
2006 QB181,7.36759
2013 TV228,7.58914
2013 TW228,7.51161
2013 TX228,7.73065
2013 TG187,7.65694
2013 TS187,8.7207
2013 TY228,6.9778
2013 TA172,8.53489
2013 TZ228,7.57513
2013 TA229,8.04727
2013 TE187,6.60545
2006 QA181,7.70538
2013 TB229,7.31851
2013 TC229,8.09408
2003 QY111,7.36166
2013 TD229,7.32478
2013 TE229,8.81999
2014 VM43,7.51784
2002 PG150,8.0971
2013 TM229,6.71928
2013 VE72,7.96307
2013 UK15,6.01745
2013 TF229,6.89803
2013 TG229,7.28757
2013 TH229,7.39357
2016 QM134,7.38187
2013 TJ229,7.94184
2013 TB172,8.10641
2003 QB91,6.73155
2016 QN134,8.09753
2014 TF115,7.65261
2013 TM187,8.30765
2014 TG115,6.99012
2013 VL46,6.66875
2013 VK46,8.55513
2013 TV158,6.42315
2016 SR105,8.63869
2014 YW91,7.60949
2016 SQ58,7.98459
2013 TZ171,7.34469
2013 VF72,7.1058
2016 SA56,7.21506
2014 QE442,7.15419
2013 UL49,6.66086
2014 QS441,5.50863
2014 UY276,8.21972
2013 QO95,6.95536
2013 VS46,6.79438
2016 SR58,7.72
2013 UT22,7.29567
2016 SP56,6.35822
2016 QV89,6.06957
2015 PF312,6.24418
2014 SY373,6.92853
2013 UE31,6.59313
2014 RL86,6.874
2014 SL403,7.59075
2013 VX71,7.41795
2006 QF181,7.01493
2003 QQ91,7.82697
2013 VN71,7.23306
2013 SZ99,8.05031
2013 VO71,6.84033
2016 QO134,8.96114
2014 TH115,8.60647
2013 VP71,7.69162
2013 VQ71,7.68881
2014 TJ115,8.67259
2016 SU57,7.20384
2013 VR71,8.91675
2013 VO46,7.82269
2013 VS71,8.98523
2016 SW57,6.97448
2007 VK302,7.05865
2012 WF37,8.18945
2016 PU219,8.24983
2013 VT71,8.60564
2013 VP46,7.92935
2013 VU71,8.48554
2013 VH72,7.86538
2016 SF57,8.191
2013 VV71,7.81189
2012 WE37,7.8149
2014 QS510,8.04928
2016 SJ57,7.48313
2014 UZ276,7.83483
2015 RB280,7.76619
2003 QW90,5.01514
2013 WA139,6.90924
2013 WB139,7.59547
2006 QE181,7.74706
