ObjID,q,e,inc,node,argPeri,t_p_MJD_TDB,epochMJD_TDB,FORMAT
2013 RD124,38.78029,0.095929,15.4339327,221.251792,54.02044,45939.13048711416,57388.00078916584,BCOM
2013 RB156,34.46359,0.1133625,38.962872,45.129745,5.76648,81632.25637075497,57388.00078916584,BCOM
2013 RM109,39.53251,0.2222778,14.2852913,261.01871,128.38925,71919.2608707214,57388.00078916584,BCOM
2013 RL158,37.84842,0.0617974,14.5953766,268.642545,104.63774,66970.73432075988,57388.00078916584,BCOM
2013 RP98,37.28176,0.1317337,13.2884397,216.32075,177.80806,71717.5334007598,57388.00078916584,BCOM
2013 RC156,37.43336,0.7832452,34.999721,349.167601,319.72562,60302.91784073704,57388.00078916584,BCOM
2014 SD403,37.05097,0.6647689,26.3865234,9.082431,305.14867,59521.72897072361,57388.00078916584,BCOM
2013 RD156,43.26572,0.0756159,29.1693351,305.670561,322.78565,39249.24376613468,57388.00078916584,BCOM
2013 RM158,39.10858,0.1033014,18.2555896,181.288974,126.32238,50832.73337130135,57388.00078916584,BCOM
2005 PQ21,37.62058,0.3931997,6.4818817,316.333095,22.15544,54338.42716442939,57388.00078916584,BCOM
2005 TB190,46.19977,0.3893645,26.4796131,180.451616,171.45372,57717.59039915478,57388.00078916584,BCOM
2013 SG102,42.75055,0.0073999,7.9860411,200.56515,201.49073,72059.65486075707,57388.00078916584,BCOM
2013 RR109,45.08365,0.0585557,4.2375658,225.786636,100.3826,49978.15906812944,57388.00078916584,BCOM
2013 SF106,43.51918,0.4245214,39.8460946,54.353699,257.80198,53947.54733443595,57388.00078916584,BCOM
2013 RH109,33.73065,0.0727437,14.8219256,204.39075,288.07714,92722.2233607216,57388.00078916584,BCOM
2013 RU128,35.70837,0.4165636,25.2558755,176.15599,112.25404,49289.06346655649,57388.00078916584,BCOM
2013 RN158,30.39852,0.3436608,14.389652,202.606123,86.48109,51274.00915288947,57388.00078916584,BCOM
2013 RE156,38.88287,0.0411907,13.4170543,259.150924,43.65336,51400.48352285963,57388.00078916584,BCOM
2005 RN43,40.57568,0.022506,19.2718111,186.991558,172.68717,62695.14646073805,57388.00078916584,BCOM
2013 RF156,29.21728,0.2582563,6.5958125,249.35998,307.26931,25000.324872517413,57388.00078916584,BCOM
2016 SD106,42.70458,0.8779998,4.8118639,219.424254,162.91497,64639.56861072478,57388.00078916584,BCOM
2013 SN106,41.65204,0.0451867,6.4857218,202.728663,280.98254,96171.25362075756,57388.00078916584,BCOM
2013 RJ109,37.61004,0.1317121,20.2994947,182.474097,253.60466,77869.73805074846,57388.00078916584,BCOM
2013 RG156,32.51299,0.1734846,5.3720006,205.571972,331.11569,14859.243352493075,57388.00078916584,BCOM
2013 RH156,37.15034,0.0566251,9.00634,185.900504,119.53324,44872.49267396244,57388.00078916584,BCOM
2013 RO156,41.44949,0.0336535,1.3562345,262.524615,111.73444,61339.9591907231,57388.00078916584,BCOM
2013 RP156,34.46807,0.1155456,31.4761857,357.635658,228.81404,25784.44655250397,57388.00078916584,BCOM
2001 QO297,41.36288,0.036564,1.1361109,143.31083,316.53401,82976.42057074636,57388.00078916584,BCOM
2013 TJ159,36.24551,0.3172844,4.8064415,165.168468,174.22926,52128.29451286036,57388.00078916584,BCOM
2013 WG114,41.32218,0.0641481,1.4707704,70.031794,273.7489,51884.810432861465,57388.00078916584,BCOM
2003 QM91,41.23611,0.0437795,3.0431417,8.064215,8.57058,59363.79009075199,57388.00078916584,BCOM
2013 TG172,32.5793,0.3196301,4.8011452,14.472045,339.44321,54493.99126445264,57388.00078916584,BCOM
2002 PD149,40.3187,0.0615158,4.9073558,103.551573,38.78038,96050.68643072489,57388.00078916584,BCOM
2013 RG124,38.9542,0.5715467,43.5230188,35.589364,287.56326,56309.91153759736,57388.00078916584,BCOM
2013 RV124,39.95241,0.1066017,43.2550263,51.78671,184.16525,31562.394382518447,57388.00078916584,BCOM
2013 RQ156,34.59266,0.1238484,12.3296631,189.338345,0.22144,15233.774452490336,57388.00078916584,BCOM
2013 RR156,49.28891,0.2138496,29.4978107,0.164066,332.68352,46937.938528716804,57388.00078916584,BCOM
2013 TX187,40.75658,0.0501484,0.4811925,45.368439,254.86992,41052.499669077624,57388.00078916584,BCOM
2003 QT91,40.5187,0.0825669,0.1894591,145.512403,173.3642,45658.264677116014,57388.00078916584,BCOM
2013 RS156,37.21231,0.3866166,14.3066475,177.988614,147.27036,49425.74726659223,57388.00078916584,BCOM
2014 OQ394,34.71954,0.4396682,29.4889797,186.620737,157.83562,52861.079872859525,57388.00078916584,BCOM
2001 QF331,31.58671,0.2525394,2.6725609,156.777529,249.48397,62208.013940758545,57388.00078916584,BCOM
2001 QQ322,41.71299,0.0517693,3.9583052,76.478086,350.59115,74960.6105707524,57388.00078916584,BCOM
2013 RT156,36.31029,0.3382032,22.9456613,168.822079,306.1376,88253.36214074116,57388.00078916584,BCOM
2013 SL102,38.12812,0.8787216,6.5048876,94.732073,265.48206,55320.76339603522,57388.00078916584,BCOM
2013 TX171,36.43034,0.2766382,19.5888326,167.371885,203.62671,57058.480897602974,57388.00078916584,BCOM
2013 RK109,34.2758,0.616968,12.848598,176.758927,162.36188,51361.733302871515,57388.00078916584,BCOM
2013 RU156,35.3529,0.3754701,11.5836266,37.374416,345.41689,60666.950450736746,57388.00078916584,BCOM
2013 RV156,40.07497,0.0822221,5.7175805,78.954404,299.03937,57448.87353918294,57388.00078916584,BCOM
2013 VY71,33.3308,0.1542686,10.6100814,63.761065,326.80196,60179.76351072681,57388.00078916584,BCOM
2013 RP124,36.85992,0.1917434,32.2292868,28.655097,346.43452,56475.461497593446,57388.00078916584,BCOM
2007 RW10,21.1478,0.3005451,36.1009402,187.037272,96.08616,46184.23330714721,57388.00078916584,BCOM
2012 TD324,33.92727,0.1386321,9.5760125,114.614493,190.98067,44148.36428081444,57388.00078916584,BCOM
2013 RC109,28.41354,0.2791741,43.5145581,32.816368,318.81463,53024.63602287598,57388.00078916584,BCOM
2013 TC188,38.94776,0.1197409,11.2736563,114.576195,280.00603,59443.67334072777,57388.00078916584,BCOM
2013 RH124,40.44617,0.0872985,35.792884,180.038333,3.3691,104052.54507072186,57388.00078916584,BCOM
2013 TN187,33.19813,0.3741395,9.9852681,109.978202,276.30635,56295.24306759251,57388.00078916584,BCOM
2005 SA278,33.06288,0.6415696,16.2752624,170.353357,277.08151,65055.27222073866,57388.00078916584,BCOM
2014 QN441,33.13419,0.2822412,20.6912886,144.611403,243.08765,56240.776677577094,57388.00078916584,BCOM
2013 RL109,32.08433,0.2016037,14.185652,193.595035,69.54824,43253.79822770334,57388.00078916584,BCOM
2013 RW156,37.27862,0.0849417,15.7874485,208.412093,224.07525,83047.26996075964,57388.00078916584,BCOM
2013 RX156,36.31792,0.1910992,31.1962499,171.047778,165.85796,59261.82394075417,57388.00078916584,BCOM
2013 RY156,35.30196,0.2840329,14.8741148,194.333426,56.80643,40733.99841951475,57388.00078916584,BCOM
2014 NB66,42.05275,0.0788983,4.912669,299.926357,194.10405,101116.36292072218,57388.00078916584,BCOM
2013 RT124,36.34847,0.4425966,18.2896935,49.551981,308.64659,54426.26274443127,57388.00078916584,BCOM
2013 RZ156,38.58989,0.0604654,26.4487869,36.366703,248.19299,35961.78996251648,57388.00078916584,BCOM
2014 WD536,29.60743,0.2487427,16.6072991,68.271966,329.3456,59992.52639075388,57388.00078916584,BCOM
2013 RA157,33.13943,0.3937215,37.6294895,178.831035,201.5328,56172.506457576565,57388.00078916584,BCOM
2013 SS102,37.95781,0.1966695,26.3780359,21.527613,19.65904,65256.71240073684,57388.00078916584,BCOM
2013 RQ158,42.07337,0.0732943,8.2586916,148.415688,264.68394,71320.7830207555,57388.00078916584,BCOM
2013 RB157,30.53749,0.2279087,8.7094105,76.983255,213.41856,43470.58508767291,57388.00078916584,BCOM
2014 TY114,42.70917,0.0251815,17.0884342,43.045287,129.56023,104298.21145074963,57388.00078916584,BCOM
2013 RC157,29.39439,0.251001,12.8187004,139.422844,249.96041,59325.377210759274,57388.00078916584,BCOM
2013 RD157,33.90623,0.0992766,12.1589567,151.078337,161.3342,47601.36925029588,57388.00078916584,BCOM
2014 QX510,39.02695,0.1440901,6.4624788,67.98962,269.78085,52052.77737288285,57388.00078916584,BCOM
2013 RE157,39.70069,0.1351726,35.6369721,179.248086,129.8527,36049.569902491516,57388.00078916584,BCOM
2013 RF157,36.30188,0.4203922,20.4510162,101.680956,297.62617,58455.68208073068,57388.00078916584,BCOM
2013 RT128,35.97024,0.1079606,24.1689457,32.715173,213.50486,28068.055242480863,57388.00078916584,BCOM
2013 RY108,24.54501,0.461338,10.7597231,93.266818,5.16151,68667.2057207265,57388.00078916584,BCOM
