ObjID,fieldMJD_TAI,fieldRA_deg,fieldDec_deg,AstRA(deg),AstDec(deg),AstrometricSigma(deg),optFilter,observedTrailedSourceMag,PhotometricSigmaPSF(mag),PhotometricSigmaTrailedSource(mag),fiveSigmaDepthAtSource
39265,60371.23081,195.2225231,-33.5546893,193.5099741,-32.7191961,2.8e-06,z,18.054,0.005,0.005,22.803
39265,60371.39142,195.2225231,-33.5546893,193.4775272,-32.7222119,2.8e-06,i,18.003,0.004,0.004,23.175
39265,60373.20776,193.6570145,-33.5014042,193.1122121,-32.7514399,2.8e-06,r,18.181,0.003,0.003,24.028
39265,60373.23256,193.6570145,-33.5014042,193.107017,-32.7517903,2.8e-06,i,17.98,0.003,0.003,23.622
39265,60374.34702,192.1142191,-34.1159491,192.87567,-32.7646366,2.8e-06,i,17.975,0.003,0.003,23.79
39265,60374.37338,192.1142191,-34.1159491,192.8700495,-32.7648679,2.8e-06,z,18.02,0.004,0.004,23.047
39265,60376.33574,192.885252,-33.56991,192.452841,-32.7780256,2.8e-06,g,18.794,0.002,0.002,24.817
39265,60376.35645,192.885252,-33.56991,192.4482757,-32.7780797,2.8e-06,r,18.142,0.002,0.002,24.369
39265,60377.36057,192.8842668,-33.5905256,192.2296042,-32.7800537,2.8e-06,r,18.134,0.003,0.003,23.987
39265,60381.36238,192.8817522,-32.219521,191.327553,-32.7558832,2.8e-06,i,17.905,0.002,0.002,23.865
39265,60387.30118,189.3286377,-33.5336428,189.915564,-32.6246559,2.8e-06,z,17.908,0.003,0.003,23.327
39265,60387.32523,189.3286377,-33.5336428,189.90961,-32.623869,2.8e-06,i,17.856,0.003,0.003,23.47
39265,60397.31722,186.1196704,-31.8560311,187.4224763,-32.1484823,2.9e-06,i,17.793,0.006,0.006,22.305
39265,60397.34108,186.1196704,-31.8560311,187.4163987,-32.1469452,2.8e-06,z,17.852,0.005,0.005,22.572
39265,60398.32359,186.4026034,-30.9279057,187.1695958,-32.0836358,3.2e-06,z,17.836,0.007,0.007,21.932
39265,60402.27963,187.5349786,-32.4817212,186.1800137,-31.8006032,2.8e-06,z,17.832,0.003,0.003,23.283
39265,60403.2865,187.334917,-30.7222495,185.9300269,-31.7216093,2.8e-06,i,17.776,0.003,0.003,23.619
39265,60406.0597,185.645687,-30.2346361,185.2489407,-31.4902706,2.8e-06,r,17.968,0.002,0.002,24.29
39265,60407.2205,185.4166348,-30.6409676,184.9661919,-31.3877593,2.8e-06,g,18.623,0.002,0.002,24.807
39265,60407.24474,185.4166348,-30.6409676,184.9602174,-31.385554,2.8e-06,r,17.967,0.002,0.002,24.255
39265,60407.27341,185.4166348,-30.6409676,184.9531745,-31.3829526,2.8e-06,r,17.971,0.002,0.002,24.331
39265,60408.11825,183.5202571,-31.2328893,184.7501594,-31.3062049,2.8e-06,r,17.969,0.002,0.002,24.136
39265,60411.22259,183.7822018,-31.9683561,184.0138919,-31.0101123,2.8e-06,g,18.629,0.002,0.002,24.919
39265,60411.24676,183.7822018,-31.9683561,184.0081547,-31.0077002,2.8e-06,r,17.978,0.002,0.002,24.304
39265,60413.102,182.1016585,-29.847999,183.5800849,-30.8210648,2.8e-06,r,17.993,0.002,0.002,24.329
39265,60414.22197,181.6621325,-31.2405931,183.3252066,-30.7051429,2.9e-06,r,17.997,0.003,0.003,23.323
39265,60414.24588,181.6621325,-31.2405931,183.3197216,-30.7026243,3e-06,i,17.814,0.004,0.004,22.703
39265,60424.21651,182.4994442,-29.2493868,181.2334015,-29.5863078,3e-06,i,17.89,0.007,0.007,22.069
39265,60424.24032,182.4994442,-29.2493868,181.2287751,-29.583469,3.1e-06,z,17.95,0.008,0.008,21.916
39265,60425.04489,181.3900564,-28.9727969,181.0769697,-29.4884138,2.8e-06,z,17.966,0.005,0.005,22.651
39265,60427.22296,181.6882319,-29.3941104,180.6761391,-29.2283327,2.9e-06,z,17.975,0.006,0.006,22.422
39265,60428.18435,180.4223214,-30.2871125,180.5058519,-29.112622,2.8e-06,z,17.992,0.004,0.004,22.883
39265,60431.00232,181.5037149,-28.7645167,180.0295552,-28.7707871,2.9e-06,g,18.821,0.003,0.003,24.123
39265,60431.04718,181.5037149,-28.7645167,180.0220662,-28.7653501,2.8e-06,r,18.164,0.003,0.003,23.822
39265,60436.11444,178.1673749,-27.4232305,179.2527005,-28.1462397,2.8e-06,r,18.227,0.002,0.002,24.379
39265,60436.13866,178.1673749,-27.4232305,179.249202,-28.1432663,2.8e-06,i,18.039,0.003,0.002,23.928
39265,60452.12429,176.4481133,-25.0336079,177.6061295,-26.2636459,2.9e-06,z,18.286,0.007,0.007,22.447
39265,60461.07326,178.4695629,-25.9864001,177.2011074,-25.3316926,2.8e-06,i,18.341,0.004,0.004,23.418
39265,60461.0975,178.4695629,-25.9864001,177.2004129,-25.3293086,2.9e-06,z,18.392,0.006,0.006,22.828
39265,60487.02792,178.9473228,-24.7543595,177.886194,-23.3954052,2.8e-06,z,18.66,0.006,0.006,23.138
39265,60487.05206,178.9473228,-24.7543595,177.8879108,-23.394166,2.8e-06,i,18.617,0.004,0.004,23.48
39265,60490.05966,178.5100284,-24.1976256,178.1222201,-23.2514592,2.8e-06,i,18.629,0.004,0.004,23.481
39265,60509.9941,181.8585333,-23.5909222,180.3263614,-22.7302664,5.8e-06,z,18.859,0.018,0.018,21.701
387449,60359.35523,208.4228825,3.2913902,209.5785341,2.9264822,1.37e-05,r,23.783,0.132,0.131,24.394
387449,60371.34231,208.8200039,4.9460032,209.4759214,3.9958573,5.16e-05,z,23.733,0.367,0.365,22.852
387449,60377.29371,208.0727629,5.2920259,209.1115506,4.601939,1.74e-05,r,23.456,0.134,0.133,24.116
387449,60378.30503,208.2165207,4.1568996,209.0294598,4.7083751,1.5e-05,g,24.15,0.123,0.122,24.689
387449,60378.32888,208.2165207,4.1568996,209.0273117,4.7108668,1.57e-05,r,23.674,0.126,0.125,24.176
