ObjID,FieldID,fieldMJD_TAI,fieldJD_TDB,Range_LTC_km,RangeRate_LTC_km_s,RA_deg,RARateCosDec_deg_day,Dec_deg,DecRate_deg_day,Obj_Sun_x_LTC_km,Obj_Sun_y_LTC_km,Obj_Sun_z_LTC_km,Obj_Sun_vx_LTC_km_s,Obj_Sun_vy_LTC_km_s,Obj_Sun_vz_LTC_km_s,Obs_Sun_x_km,Obs_Sun_y_km,Obs_Sun_z_km,Obs_Sun_vx_km_s,Obs_Sun_vy_km_s,Obs_Sun_vz_km_s,phase_deg
1998 BW1,48293,60292.27976446247,2460292.780136993,227295901.7452933,-10.476239604545691,118.68948546556666,-0.1111400756451126,17.98411654432845,0.0183421079551866,-82446301.90450796,323350372.0848357,128130660.170598,-20.958746654578285,-2.815129832852321,-0.7605899377977408,21338756.18349258,133700469.7048422,57952293.168114096,-30.34425783855865,3.70401757617942,1.6728499094173437,13.887099447174942
1998 BW1,48294,60292.28021348675,2460292.780585993,227295495.3677275,-10.475003944946414,118.68943299894772,-0.1111459657323901,17.984124778401714,0.0183352839264969,-82447114.99782726,323350262.8712943,128130630.66326298,-20.958737354635712,-2.8151662887106608,-0.7606043838455149,21337579.02837697,133700613.37235926,57952358.06213047,-30.343860691856417,3.7027477186984767,1.672754879570679,13.886918777684858
1998 BW1,48339,60292.30168842488,2460292.802060993,227276115.081481,-10.41566269087991,118.68692097011169,-0.1113459285053747,17.984515010586446,0.0180073212592031,-82486003.61880964,323345037.69883657,128129218.71697442,-20.958292452326116,-2.8169098758144053,-0.7612953018471224,21281297.58050805,133707428.21654102,57955457.53673669,-30.32145481742932,3.643593007511657,1.668201668953846,13.878276227907634
1998 BW1,48340,60292.30213726795,2460292.802509993,227275711.05398205,-10.414420446574375,118.686868407006,-0.1113483964078603,17.984523094331134,0.0180004559383589,-82486816.69434349,323344928.4162608,128129189.1822809,-20.958283148207705,-2.816946329896511,-0.7613097472669671,21280121.312739264,133707569.54131678,57955522.25042462,-30.32091667022172,3.642392559413538,1.6681063051538816,13.87809551240908
2000 QR19,51129,60296.34362463712,2460296.843996994,222125216.5018106,-13.12875320240829,139.27095365545364,-0.0436541402941237,18.86844930691139,0.0142119523919501,-148513591.87911013,271852309.6953079,130223992.2510652,-19.6124297859651,-5.172378077180674,-2.82382027383772,10768403.26333548,134707629.58818752,58389498.11535211,-30.46172377449438,1.583274583758266,0.8182758410222023,19.653247339384567
1999 JO12,55172,60302.32214138439,2460302.822513996,390583404.7720787,-20.64782824001327,160.6004217101329,0.0399653146629855,15.785242383989576,0.0580676100184718,-359371629.8055934,259775548.54101235,164738500.37762162,-11.649606382158504,-11.292122265599104,-1.6455527110557404,-4856928.839659646,134934147.6481955,58487159.183719486,-30.51928761089358,-1.3052068184700318,-0.4376701512108351,16.29940621344753
1999 JO12,55194,60302.33205759109,2460302.832429996,390565725.6829677,-20.6234640153833,160.6008326578673,0.0397976615771463,15.785817904973872,0.0580113232147583,-359381611.03850585,259765873.31484452,164737090.38966262,-11.64922032916852,-11.292401431519671,-1.6457297330923184,-4883067.859448711,134933020.24061003,58486783.30523147,-30.500095076785897,-1.3264425064164975,-0.4397899964623561,16.29792185409594
1999 LZ3,55213,60302.34057754053,2460302.8409499964,315636224.5020588,-24.19052957904905,163.31917990157237,0.0982607513719996,7.469606932423656,-0.0051327442760582,-304693548.6863155,224763381.6542575,99519247.91250418,-9.34556992314497,-14.216472004470914,-3.910515273932123,-4905513.515420471,134932037.39441764,58486458.89252095,-30.48281062142553,-1.343717488959223,-0.4416132541363184,20.663446558534588
1999 LZ3,55217,60302.3423690182,2460302.842741996,315632479.5125976,-24.186048489305247,163.3193574618734,0.0982277150714473,7.46959773114302,-0.0051365497450406,-304694995.7579901,224761180.35166225,99518642.40067506,-9.34546556366107,-14.216549004113094,-3.9105493673741,-4910232.843661076,134931829.07561246,58486390.48838095,-30.479086727913387,-1.3472327861590334,-0.4419969436914533,20.66322230179665
1999 LZ3,55238,60302.35182548247,2460302.8521979963,315612729.56906974,-24.16214578550062,163.3202934648429,0.0980660465174424,7.469549063214074,-0.0051571426487167,-304702631.3787805,224749564.35021445,99515447.15655446,-9.344914868862126,-14.216955305148687,-3.910729269015982,-4935126.040036562,134930721.01627186,58486028.55017461,-30.45895594174237,-1.3650818421849882,-0.4440227134702647,20.662038113226476
