detector,x,y
S26,-0.0056517,0.665531
S27,0.00560886,0.665509
S27,0.00560886,0.815022
S27,0.305082,0.815022
S27,0.305082,0.665509
S28,0.316158,0.665058
S28,0.316158,0.814732
S28,0.615391,0.814732
S28,0.615391,0.665058
S29,-0.46021,0.829248
S29,-0.46021,0.978699
S29,-0.160988,0.978699
S29,-0.160988,0.829248
S30,-0.150043,0.829007
S30,-0.150043,0.978648
S30,0.149464,0.978648
S30,0.149464,0.829007
S31,0.160898,0.82932
S31,0.160898,0.978804
S31,0.460111,0.978804
S31,0.460111,0.82932
