index ObjID FieldID FieldMJD AstRange(km) AstRangeRate(km/s) AstRA(deg) AstRARate(deg/day) AstDec(deg) AstDecRate(deg/day) Ast-Sun(J2000x)(km) Ast-Sun(J2000y)(km) Ast-Sun(J2000z)(km) Ast-Sun(J2000vx)(km/s) Ast-Sun(J2000vy)(km/s) Ast-Sun(J2000vz)(km/s) Obs-Sun(J2000x)(km) Obs-Sun(J2000y)(km) Obs-Sun(J2000z)(km) Obs-Sun(J2000vx)(km/s) Obs-Sun(J2000vy)(km/s) Obs-Sun(J2000vz)(km/s) Sun-Ast-Obs(deg) V V(H=0)
4470 6 1585729 62985.210802 2525081300.413625 14.954 199.691647 -0.044697 3.324747 0.01042 -2491664780.815 -935029799.453 109330464.692 -3.19 -5.352 -3.17 -118252482.438 -85615561.051 -37112174.102 18.245 -21.854 -9.343 1.309064 32.572 12.572
4471 6 1585779 62985.233345 2525110487.393904 15.016 199.69064 -0.04464 3.324981 0.010407 -2491670993.311 -935040222.119 109324290.179 -3.19 -5.352 -3.17 -118216897.741 -85658080.998 -37130369.633 18.294 -21.807 -9.341 1.310126 32.572 12.572
4472 6 1586413 62986.07326 2526199895.119395 15.034 199.653952 -0.044391 3.33363 0.010186 -2491902415.469 -935428539.111 109094233.739 -3.189 -5.351 -3.17 -116901574.22 -87207993.159 -37804301.355 18.268 -21.702 -9.234 1.349247 32.576 12.576
4473 6 1586463 62986.097599 2526231581.735951 15.103 199.652871 -0.044429 3.333878 0.010172 -2491909120.133 -935439791.054 109087567.214 -3.188 -5.351 -3.17 -116863085.083 -87253625.713 -37823715.257 18.339 -21.697 -9.231 1.350396 32.577 12.577
4474 6 1587832 62988.154969 2529023987.896837 16.227 199.563687 -0.043748 3.354105 0.009499 -2492475589.196 -936390818.083 108524029.977 -3.185 -5.35 -3.17 -113534502.466 -90986554.739 -39440934.367 19.282 -21.044 -8.964 1.4465 32.588 12.588
4475 6 1587882 62988.178832 2529057516.457937 16.298 199.562643 -0.04372 3.354331 0.009484 -2492482156.127 -936401847.317 108517493.665 -3.185 -5.35 -3.171 -113494683.022 -91029904.619 -39459412.665 19.344 -21.007 -8.961 1.447626 32.588 12.588
4476 6 1587927 62988.199104 2529086114.439343 16.356 199.561757 -0.043683 3.354524 0.009473 -2492487735.14 -936411217.409 108511940.604 -3.185 -5.35 -3.171 -113460756.705 -91066668.715 -39475106.425 19.393 -20.97 -8.959 1.448582 32.588 12.588
4487 6 1594305 62997.159549 2543202263.030282 20.304 199.193287 -0.039871 3.42613 0.006438 -2494948331.083 -940550676.53 106057337.952 -3.172 -5.345 -3.171 -97403020.114 -105952031.527 -45928533.028 22.505 -18.056 -7.686 1.857809 32.636 12.636
4477 6 1587977 62988.222915 2529119831.327211 16.422 199.560718 -0.043624 3.354749 0.009459 -2492494287.763 -936422222.791 108505418.391 -3.185 -5.35 -3.171 -113420805.533 -91109760.08 -39493533.407 19.445 -20.921 -8.956 1.449705 32.588 12.588
4479 6 1592350 62995.18106 2539822652.079583 19.494 199.271605 -0.040786 3.41268 0.007128 -2494405932.047 -939637025.904 106599352.708 -3.175 -5.346 -3.171 -101154639.03 -102863652.361 -44589411.793 21.883 -18.713 -7.982 1.769567 32.626 12.626
4480 6 1592498 62995.248498 2539936750.530707 19.664 199.268861 -0.040571 3.413159 0.007089 -2494424428.4 -939668171.367 106580878.206 -3.175 -5.346 -3.171 -101026742.802 -102972245.235 -44635890.793 22.008 -18.555 -7.972 1.772632 32.626 12.626
4481 6 1594132 62997.077117 2543058512.663111 20.063 199.196577 -0.039918 3.425597 0.00649 -2494925742.658 -940512613.908 106079920.975 -3.172 -5.345 -3.171 -97562540.081 -105823015.257 -45873750.46 22.284 -18.156 -7.698 1.854113 32.635 12.635
4482 6 1594133 62997.077566 2543059291.250437 20.064 199.19656 -0.039919 3.4256 0.00649 -2494925865.737 -940512821.3 106079797.927 -3.172 -5.345 -3.171 -97561675.285 -105823719.835 -45874049.182 22.286 -18.156 -7.698 1.854133 32.635 12.635
4483 6 1594134 62997.078011 2543060061.954931 20.065 199.196542 -0.039919 3.425603 0.00649 -2494925987.563 -940513026.579 106079676.133 -3.172 -5.345 -3.171 -97560819.252 -105824417.224 -45874344.858 22.287 -18.156 -7.698 1.854153 32.635 12.635
4484 6 1594182 62997.100926 2543099855.353492 20.132 199.195627 -0.039926 3.425751 0.006475 -2494932267.051 -940523607.717 106073398.236 -3.172 -5.345 -3.171 -97516629.341 -105860347.741 -45889582.221 22.351 -18.138 -7.694 1.855181 32.636 12.636
4485 6 1594183 62997.101375 2543100636.023671 20.134 199.195609 -0.039926 3.425754 0.006475 -2494932390.033 -940523814.946 106073275.285 -3.172 -5.345 -3.171 -97515762.62 -105861051.05 -45889880.575 22.353 -18.138 -7.694 1.855201 32.636 12.636
4478 6 1592300 62995.157255 2539782626.395744 19.426 199.272577 -0.040832 3.41251 0.007143 -2494399402.701 -939626031.515 106605874.194 -3.175 -5.346 -3.171 -101199591.085 -102825117.144 -44572991.398 21.827 -18.757 -7.985 1.768482 32.625 12.625
4469 6 1583867 62983.245882 2522648834.625648 14.072 199.778603 -0.045221 3.303647 0.011015 -2491123016.653 -934121217.321 109868651.477 -3.193 -5.353 -3.17 -121237161.7 -81909450.933 -35505486.773 17.508 -22.356 -9.585 1.217738 32.561 12.561
4507 6 1608983 63022.022715 2596618885.000397 28.78 198.404821 -0.023968 3.470785 -0.002975 -2501720922.839 -952015263.229 99244475.95 -3.134 -5.33 -3.172 -42439549.054 -133691444.258 -57953755.324 28.176 -8.137 -3.357 2.775298 32.754 12.754
4509 6 1609085 63022.068508 2596733007.761425 28.908 198.403724 -0.023933 3.470648 -0.003005 -2501733322.459 -952036349.762 99231925.437 -3.134 -5.33 -3.172 -42327837.378 -133723534.965 -57967021.307 28.292 -8.08 -3.349 2.776614 32.754 12.754
