 ObjID FieldID FieldMJD AstRange(km) AstRangeRate(km/s) AstRA(deg) AstRARate(deg/day) AstDec(deg) AstDecRate(deg/day) Ast-Sun(J2000x)(km) Ast-Sun(J2000y)(km) Ast-Sun(J2000z)(km) Ast-Sun(J2000vx)(km/s) Ast-Sun(J2000vy)(km/s) Ast-Sun(J2000vz)(km/s) Obs-Sun(J2000x)(km) Obs-Sun(J2000y)(km) Obs-Sun(J2000z)(km) Obs-Sun(J2000vx)(km/s) Obs-Sun(J2000vy)(km/s) Obs-Sun(J2000vz)(km/s) Sun-Ast-Obs(deg) V V(H=0
23 S1000000a 412091 60958.133736 354073100.715 2.131 6.572324 -0.166167 14.007781 -0.163543 484366531.119 78762244.69 102797431.4 -2.83 15.572 0.465 143080248.621 39441132.012 17092739.654 -9.017 26.467 11.299 3.387741 19.027 4.827
24 S1000000a 423351 60973.112443 361898884.146 9.783 4.421537 -0.126803 11.526808 -0.163057 480277421.888 98839524.072 103308227.065 -3.488 15.451 0.324 126732890.834 71502072.658 30991276.228 -16.121 23.584 10.049 7.066851 19.265 5.065
25 S1000000a 423401 60973.136176 361919017.18 9.853 4.418529 -0.126671 11.522936 -0.163202 480270268.003 98871206.644 103308891.83 -3.489 15.451 0.324 126699762.18 71550421.057 31011880.789 -16.191 23.57 10.047 7.073759 19.265 5.065
26 S1000000a 433905 60992.013112 384670399.657 17.584 2.876313 -0.043886 8.70964 -0.130331 473908133.56 123919303.967 103692124.02 -4.311 15.259 0.146 94152597.963 104839119.042 45442588.563 -23.371 17.675 7.494 12.029476 19.6 5.4
27 S1000000a 433906 60992.013559 384671077.839 17.585 2.876293 -0.043888 8.709582 -0.130333 473907967.298 123919892.427 103692129.639 -4.311 15.259 0.146 94151696.588 104839800.74 45442877.575 -23.372 17.676 7.494 12.029579 19.6 5.4
28 S1000000a 433929 60992.025738 384689599.866 17.619 2.875758 -0.04393 8.707994 -0.130363 473903430.688 123935947.973 103692282.886 -4.312 15.259 0.146 94127084.672 104858401.447 45450762.011 -23.406 17.677 7.492 12.032394 19.6 5.4
29 S1000000a 433930 60992.026185 384690280.599 17.62 2.875739 -0.043931 8.707936 -0.130364 473903264.112 123936537.465 103692288.51 -4.312 15.259 0.146 94126180.334 104859084.415 45451051.458 -23.408 17.677 7.492 12.032498 19.6 5.4
30 S1000000a 436323 60995.120797 389567129.61 18.929 2.778215 -0.028527 8.315454 -0.123365 472732580.97 128011344.318 103727289.205 -4.446 15.223 0.116 87714093.228 109327542.124 47386888.79 -24.664 16.465 6.985 12.710569 19.653 5.453
31 S1000000a 436373 60995.144584 389606095.348 18.989 2.777542 -0.02803 8.312519 -0.123404 472723443.901 128042628.514 103727527.862 -4.447 15.223 0.116 87663343.562 109361339.62 47401239.853 -24.722 16.424 6.981 12.7157 19.653 5.453
32 S1000000a 643902 61358.33015 355831938.824 -12.468 84.558179 -0.133475 1.577026 -0.137974 125707144.151 460510472.956 55916279.874 -15.837 3.754 -2.941 91974604.511 106416430.936 46123493.326 -24.229 16.799 7.316 11.047294 19.304 5.104
33 S1000000a 643924 61358.34136 355819878.528 -12.436 84.556683 -0.133401 1.575479 -0.137971 125691803.819 460514109.15 55913431.531 -15.838 3.754 -2.941 91951137.94 106432686.286 46130578.643 -24.227 16.767 7.314 11.044871 19.304 5.104
34 S1000000a 656384 61376.19748 342419324.487 -4.655 81.64533 -0.196229 -0.61834 -0.103741 101089530.05 465645663.652 51298874.913 -16.048 2.896 -3.04 51338780.636 126879953.861 54994215.448 -28.789 9.549 4.085 7.800587 19.081 4.881
35 S1000000a 656434 61376.221467 342409751.955 -4.583 81.640621 -0.196376 -0.620828 -0.10367 101056269.599 465651663.807 51292574.129 -16.048 2.894 -3.04 51279092.38 126899673.474 55002677.171 -28.809 9.48 4.08 7.797751 19.081 4.881
36 S1000000a 656487 61376.245986 342400122.074 -4.509 81.635805 -0.196388 -0.623369 -0.103597 101022271.735 465657794.4 51286133.479 -16.048 2.893 -3.04 51218049.159 126919678.77 55011316.331 -28.82 9.407 4.076 7.79486 19.08 4.88
37 S1000000a 656573 61376.286228 342384652.475 -4.391 81.627907 -0.196112 -0.627535 -0.103476 100966471.862 465667850.717 51275562.22 -16.049 2.891 -3.04 51117843.93 126952176.928 55025473.156 -28.817 9.287 4.068 7.790134 19.08 4.88
38 S1000000a 656619 61376.308136 342376399.529 -4.33 81.623614 -0.195813 -0.629802 -0.10341 100936093.91 465673322.5 51269806.934 -16.049 2.89 -3.041 51063309.603 126969696.288 55033168.471 -28.805 9.224 4.063 7.787574 19.08 4.88
39 S1000000a 660176 61382.183127 340800225.697 -1.732 80.474112 -0.205403 -1.19024 -0.087035 92774271.27 467067920.396 49718485.016 -16.108 2.604 -3.072 36386303.796 131039525.939 56797621.592 -29.744 6.774 2.883 7.351493 19.048 4.848
40 S1000000a 660180 61382.184939 340799954.976 -1.726 80.47374 -0.205414 -1.190397 -0.087029 92771749.111 467068328.156 49718004.088 -16.108 2.604 -3.072 36381646.553 131040586.197 56798072.959 -29.746 6.769 2.883 7.351434 19.048 4.848
41 S1000000a 660226 61382.207824 340796609.82 -1.657 80.469038 -0.205492 -1.192388 -0.086944 92739898.48 467073476.248 49711930.687 -16.109 2.603 -3.072 36322814.603 131053904.12 56803767.974 -29.762 6.702 2.878 7.350699 19.048 4.848
42 S1000000a 660230 61382.209636 340796350.737 -1.652 80.468666 -0.205493 -1.192546 -0.086937 92737375.962 467073883.871 49711449.677 -16.109 2.603 -3.072 36318153.986 131054953.164 56804218.613 -29.763 6.696 2.878 7.350641 19.048 4.848
43 S1000000a 660315 61382.248826 340790957.612 -1.534 80.460615 -0.205328 -1.19595 -0.086791 92682830.972 467082694.503 49701048.455 -16.109 2.601 -3.072 36217355.876 131077428.678 56813948.612 -29.771 6.579 2.87 7.349403 19.048 4.848
44 S1000000a 663651 61387.206677 340608580.143 0.826 79.464077 -0.207336 -1.588851 -0.071517 85772335.649 468144979.628 48379698.462 -16.155 2.359 -3.097 23515320.131 133407644.917 57823791.026 -30.301 4.288 1.844 7.394695 19.047 4.847
45 S1000000a 676618 61411.072112 353610237.964 11.331 75.13667 -0.150283 -2.367404 0.00548 52267902.861 471792995.542 41873598.841 -16.329 1.176 -3.211 -38360753.356 130306101.27 56480257.951 -29.604 -7.031 -3.134 11.300664 19.282 5.082
46 S1000000a 676668 61411.095261 353632968.098 11.398 75.13319 -0.150336 -2.367276 0.005582 52235244.338 471795346.618 41867177.016 -16.329 1.175 -3.211 -38419986.757 130291975.134 56473985.43 -29.626 -7.095 -3.138 11.305692 19.282 5.082
47 S1000000a 677986 61413.068342 355648387.256 12.099 74.856208 -0.141509 -2.350405 0.011379 49450731.83 471987223.109 41319073.636 -16.34 1.076 -3.22 -43381538.202 128978160.573 55904495.344 -29.311 -7.972 -3.54 11.724822 19.31 5.11
48 S1000000a 678036 61413.092029 355673217.02 12.167 74.852855 -0.141542 -2.350134 0.011481 49417293.753 471989424.264 41312484.847 -16.34 1.075 -3.22 -43441546.563 128961780.562 55897245.657 -29.333 -8.037 -3.545 11.729939 19.31 5.11
49 S1000000a 678760 61414.111423 356764832.912 12.602 74.716496 -0.136888 -2.336895 0.014447 47977965.869 472081855.386 41028719.453 -16.345 1.024 -3.224 -45985382.736 128220805.094 55575876.903 -29.183 -8.565 -3.75 11.945287 19.325 5.125
50 S1000000a 678810 61414.135721 356791362.026 12.672 74.713172 -0.136668 -2.336543 0.01455 47943653.489 472084003.629 41021951.054 -16.345 1.023 -3.224 -46046653.973 128202749.118 55567998.381 -29.188 -8.637 -3.755 11.950509 19.325 5.125
51 S1000000a 681743 61421.060562 365049720.697 14.898 73.921026 -0.102438 -2.170736 0.032857 38154721.068 472591920.473 39084037.533 -16.377 0.675 -3.254 -62877659.115 122074340.441 52911180.078 -27.778 -11.628 -5.111 13.362628 19.425 5.225
52 S1000000a 681793 61421.084421 365080502.334 14.966 73.918582 -0.102366 -2.169951 0.032945 38120961.732 472593310.51 39077330.198 -16.377 0.674 -3.254 -62934939.983 122050301.653 52900640.318 -27.793 -11.695 -5.115 13.367406 19.425 5.225
53 S1000000a 681960 61421.161522 365180914.741 15.177 73.910723 -0.1013 -2.1674 0.033229 38011869.359 472597785.403 39055654.498 -16.378 0.67 -3.254 -63120094.226 121971640.45 52866518.407 -27.78 -11.922 -5.13 13.382818 19.426 5.226
54 S1000000a 682010 61421.183985 365210424.652 15.232 73.908453 -0.100767 -2.166653 0.033309 37980085.559 472599084.275 39049339.011 -16.378 0.669 -3.254 -63173990.777 121948439.256 52856558.822 -27.759 -11.987 -5.134 13.387292 19.426 5.226
55 S1000000a 684385 61425.078255 370452369.335 16.173 73.573403 -0.0812 -2.01951 0.042208 32467352.276 472791065.51 37951741.051 -16.392 0.472 -3.27 -72226609.662 117680216.154 51006406.448 -26.818 -13.421 -5.857 14.124048 19.482 5.282
56 S1000000a 687351 61429.114389 376278683.716 17.378 73.310985 -0.059001 -1.831937 0.050618 26749028.786 472920269.437 36808567.91 -16.405 0.269 -3.286 -81254289.078 112675566.379 48837396.343 -25.721 -15.2 -6.576 14.834207 19.54 5.34
57 S1000000a 687352 61429.114837 376279357.235 17.379 73.310959 -0.058993 -1.831914 0.050619 26748393.043 472920279.844 36808440.553 -16.405 0.269 -3.286 -81255285.898 112674977.285 48837141.482 -25.721 -15.201 -6.576 14.834285 19.54 5.34
58 S1000000a 687401 61429.138209 376314512.41 17.439 73.309585 -0.058544 -1.83073 0.050687 26715268.303 472920820.844 36801804.683 -16.405 0.267 -3.286 -81307210.533 112644212.947 48823858.037 -25.706 -15.269 -6.58 14.838324 19.54 5.34
