START HEADER
[CONF]
cache dir = _cache/sspp_testset_orbits/1-10
[ASTEROID]
population model = ./demo/sspp_testset_orbits.des
spk t0 = 60188
ndays = 395
object1 = 1
nobjects = 10
spk step = 1
nbody = T
input format = whitespace
[SURVEY]
survey database = ./demo/baseline_v2.0_1yr.db
field1 = 1
nfields = 216011
mpcobscode file = obslist.dat
telescope = I11
surveydbquery = SELECT observationId,observationStartMJD as observationStartMJD_TAI,fieldRA,fieldDEC,rotSkyPos FROM observations order by observationStartMJD_TAI
[CAMERA]
threshold = 5
camera = instrument_circle.dat
[OUTPUT]
output file = stdout
output format = csv
Survey length:
Field 1 : 60218.001805555556
Field n : 60582.99947369435
Days : 365.0
END HEADER
ObjID,FieldID,FieldMJD_TAI,AstRange(km),AstRangeRate(km/s),AstRA(deg),AstRARate(deg/day),AstDec(deg),AstDecRate(deg/day),Ast-Sun(J2000x)(km),Ast-Sun(J2000y)(km),Ast-Sun(J2000z)(km),Ast-Sun(J2000vx)(km/s),Ast-Sun(J2000vy)(km/s),Ast-Sun(J2000vz)(km/s),Obs-Sun(J2000x)(km),Obs-Sun(J2000y)(km),Obs-Sun(J2000z)(km),Obs-Sun(J2000vx)(km/s),Obs-Sun(J2000vy)(km/s),Obs-Sun(J2000vz)(km/s),Sun-Ast-Obs(deg),V,V(H=0)
12733,132623,60412.099479,3165990963.114130,20.851,161.778538,-0.025470,-8.523752,0.021865,-3112726184.737,926735213.180,-491938492.357,-5.768,-3.380,-0.267,-138710345.916,-52305966.920,-22677191.785,10.751,-25.777,-11.006,1.626030,33.545,13.545
12733,132673,60412.123430,3166034183.529520,20.920,161.777928,-0.025443,-8.523228,0.021878,-3112738119.658,926728220.207,-491939044.736,-5.768,-3.380,-0.267,-138688025.237,-52359316.439,-22699964.654,10.822,-25.783,-11.004,1.626837,33.545,13.545
12733,132674,60412.123846,3166034936.687992,20.922,161.777918,-0.025443,-8.523219,0.021878,-3112738327.287,926728098.552,-491939054.346,-5.768,-3.380,-0.267,-138687635.624,-52360244.635,-22700360.797,10.823,-25.783,-11.004,1.626851,33.545,13.545
12733,132724,60412.148041,3166078742.996913,20.990,161.777302,-0.025402,-8.522689,0.021891,-3112750383.618,926721034.397,-491939612.337,-5.768,-3.380,-0.267,-138664934.710,-52414140.695,-22723361.719,10.896,-25.780,-11.002,1.627666,33.545,13.545
12733,133453,60413.044891,3167707980.319273,21.108,161.755332,-0.024939,-8.503110,0.021781,-3113197254.831,926459167.599,-491960290.600,-5.767,-3.380,-0.267,-137805055.326,-54370995.137,-23573132.989,11.076,-25.550,-10.930,1.657141,33.549,13.549
12733,133503,60413.069407,3167752766.433891,21.179,161.754720,-0.024944,-8.502576,0.021794,-3113209469.580,926452008.872,-491960855.715,-5.767,-3.380,-0.267,-137781524.564,-54425144.453,-23596282.808,11.142,-25.576,-10.928,1.657960,33.549,13.549
12733,137132,60417.001159,3175226732.430721,22.584,161.663454,-0.022678,-8.417384,0.021471,-3115167703.394,925303740.940,-492051380.438,-5.763,-3.381,-0.266,-133630166.418,-62855698.237,-27251570.700,12.831,-24.702,-10.584,1.784122,33.565,13.565
12733,137182,60417.025766,3175274816.907175,22.651,161.662895,-0.022701,-8.416855,0.021482,-3115179954.770,925296553.216,-492051946.340,-5.763,-3.381,-0.266,-133602827.085,-62908254.616,-27274069.608,12.889,-24.737,-10.582,1.784908,33.565,13.565
12733,141127,60421.970384,3185393547.963864,24.354,161.560816,-0.019706,-8.311682,0.020954,-3117640745.496,923851890.409,-492165497.484,-5.758,-3.383,-0.265,-127526209.823,-73098472.176,-31691495.695,14.984,-23.524,-10.086,1.934647,33.584,13.584
12733,141148,60421.981164,3185416242.185317,24.381,161.560603,-0.019722,-8.311456,0.020958,-3117646107.659,923848740.363,-492165744.670,-5.758,-3.383,-0.265,-127512244.440,-73120389.147,-31700888.679,15.007,-23.542,-10.085,1.934967,33.584,13.584
12733,142245,60423.045457,3187692123.466525,24.908,161.540507,-0.019148,-8.289173,0.020866,-3118175497.888,923537701.846,-492190143.074,-5.757,-3.383,-0.265,-126085625.595,-75249851.400,-32623059.494,15.597,-23.374,-9.970,1.965768,33.589,13.589
12733,142295,60423.068005,3187740710.238299,24.972,161.540076,-0.019135,-8.288702,0.020876,-3118186712.589,923531111.799,-492190659.822,-5.757,-3.383,-0.265,-126055179.050,-75295401.625,-32642481.235,15.660,-23.387,-9.968,1.966428,33.589,13.589
12733,142344,60423.089992,3187788207.509345,25.034,161.539655,-0.019111,-8.288243,0.020886,-3118197648.042,923524685.808,-492191163.698,-5.757,-3.383,-0.265,-126025369.249,-75339834.875,-32661415.058,15.724,-23.392,-9.966,1.967071,33.589,13.589
12733,142394,60423.113749,3187839659.847810,25.099,161.539202,-0.019070,-8.287747,0.020896,-3118209463.852,923517742.453,-492191708.133,-5.757,-3.383,-0.265,-125993021.693,-75387847.623,-32681868.366,15.794,-23.389,-9.963,1.967765,33.589,13.589
12733,142442,60423.135242,3187886322.420433,25.156,161.538792,-0.019023,-8.287297,0.020905,-3118220153.651,923511460.742,-492192200.679,-5.757,-3.383,-0.265,-125963632.611,-75431272.061,-32700368.255,15.858,-23.378,-9.961,1.968392,33.589,13.589
12733,142492,60423.158971,3187937955.790779,25.214,161.538342,-0.018958,-8.286801,0.020914,-3118231955.073,923504525.761,-492192744.439,-5.757,-3.383,-0.265,-125931052.022,-75479181.094,-32720787.205,15.926,-23.358,-9.959,1.969083,33.589,13.589
12733,148687,60430.084923,3203558114.061820,27.293,161.425619,-0.014669,-8.145628,0.019887,-3121674539.769,921479668.428,-492351140.964,-5.750,-3.385,-0.264,-115623615.897,-88672055.384,-38440219.414,18.596,-21.479,-9.137,2.154573,33.615,13.615
12733,148737,60430.108914,3203614754.692482,27.356,161.425268,-0.014619,-8.145151,0.019896,-3121686457.584,921472652.176,-492351688.541,-5.750,-3.385,-0.264,-115584996.116,-88716570.284,-38459155.906,18.666,-21.470,-9.134,2.155184,33.615,13.615
12733,153396,60435.000784,3215398337.519840,28.487,161.364483,-0.011422,-8.050078,0.018975,-3124115490.694,920041705.168,-492463181.423,-5.745,-3.387,-0.263,-107322144.145,-97303673.682,-42183335.411,20.271,-19.911,-8.477,2.269817,33.633,13.633
12733,153452,60435.027617,3215464464.507906,28.561,161.364177,-0.011411,-8.049569,0.018984,-3124128808.602,920033854.472,-492463792.109,-5.745,-3.387,-0.263,-107275067.123,-97349857.207,-42202984.752,20.343,-19.929,-8.474,2.270422,33.633,13.633
12733,153502,60435.051904,3215524466.355022,28.628,161.363900,-0.011385,-8.049108,0.018993,-3124140863.002,920026748.546,-492464344.851,-5.745,-3.387,-0.263,-107232307.841,-97391683.874,-42220762.735,20.412,-19.935,-8.471,2.270970,33.633,13.633
12733,157302,60441.085733,3230797629.725969,30.167,161.311341,-0.007174,-7.938300,0.017757,-3127134070.576,918260879.733,-492601425.625,-5.739,-3.389,-0.263,-96011657.408,-107048721.953,-46406809.946,22.595,-17.868,-7.574,2.391856,33.653,13.653
12733,159205,60443.038206,3235888469.752416,30.463,161.299758,-0.005872,-7.904144,0.017288,-3128101966.538,917689260.022,-492645680.618,-5.737,-3.389,-0.262,-92159208.301,-109934910.538,-47658612.159,23.097,-17.162,-7.266,2.425872,33.659,13.659
12733,161996,60451.956986,3259879038.639047,31.732,161.280600,0.000350,-7.759873,0.015024,-3132519105.629,915076853.099,-492847198.444,-5.728,-3.392,-0.261,-73355111.697,-121547606.758,-52692810.992,25.389,-13.695,-5.779,2.548681,33.686,13.686
12733,162017,60451.968155,3259909676.510450,31.761,161.280604,0.000353,-7.759706,0.015027,-3132524633.371,915073580.009,-492847450.173,-5.728,-3.392,-0.261,-73330595.956,-121560826.943,-52698387.326,25.417,-13.702,-5.777,2.548807,33.686,13.686
12733,162074,60451.994241,3259981337.484870,31.830,161.280613,0.000373,-7.759314,0.015033,-3132537542.617,915065936.142,-492848038.044,-5.728,-3.392,-0.261,-73273233.216,-121591721.532,-52711403.058,25.486,-13.712,-5.773,2.549102,33.686,13.686
12733,162075,60451.994690,3259982571.047387,31.831,161.280613,0.000374,-7.759307,0.015034,-3132537764.591,915065804.706,-492848048.152,-5.728,-3.392,-0.261,-73272245.489,-121592252.920,-52711626.777,25.488,-13.712,-5.773,2.549107,33.686,13.686
28311,42061,60283.271211,7019557465.422222,-13.536,102.894885,-0.016972,21.883623,0.001341,-1409330789.566,6478506415.203,2672273214.810,-4.559,0.094,0.241,44297129.176,129028108.334,55925856.258,-29.290,8.046,3.521,0.581107,36.863,16.863
28311,42106,60283.292763,7019532316.540732,-13.475,102.894519,-0.016975,21.883652,0.001327,-1409339279.769,6478506590.835,2672273663.457,-4.559,0.094,0.241,44242597.448,129043031.188,55932408.994,-29.280,7.983,3.517,0.580701,36.863,16.863
28311,45375,60288.202289,7014294131.267568,-11.312,102.810370,-0.017875,21.890460,0.001473,-1411273314.300,6478546371.268,2672375770.965,-4.559,0.093,0.240,31835123.128,131997512.894,57213596.035,-29.976,5.876,2.521,0.487333,36.850,16.850
28311,45425,60288.225989,7014271034.799748,-11.247,102.809946,-0.017893,21.890494,0.001459,-1411282650.228,6478546562.191,2672376263.407,-4.559,0.093,0.240,31773733.479,132009472.547,57218752.254,-29.984,5.805,2.516,0.486866,36.850,16.850
28311,46742,60290.199866,7012451201.702785,-10.319,102.774895,-0.018206,21.893360,0.001507,-1412060207.656,6478562426.819,2672417262.355,-4.559,0.093,0.240,26711042.947,132918063.013,57612837.618,-30.190,4.915,2.107,0.448201,36.844,16.844
28311,46792,60290.223646,7012430067.289369,-10.253,102.774462,-0.018223,21.893395,0.001492,-1412069575.196,6478562617.494,2672417756.101,-4.559,0.093,0.240,26649006.225,132928088.867,57617161.760,-30.196,4.844,2.102,0.447725,36.844,16.844
28311,48877,60293.231806,7009982661.414782,-8.699,102.719860,-0.018668,21.897892,0.001531,-1413254536.886,6478586652.101,2672480178.776,-4.559,0.092,0.240,18870922.846,133999239.089,58081665.945,-30.440,3.353,1.473,0.387713,36.836,16.836
28311,48878,60293.232250,7009982327.244927,-8.698,102.719852,-0.018668,21.897893,0.001530,-1413254712.039,6478586655.641,2672480187.997,-4.559,0.092,0.240,18869753.414,133999367.893,58081722.537,-30.440,3.352,1.473,0.387704,36.836,16.836
28311,48927,60293.255467,7009964946.773182,-8.631,102.719418,-0.018673,21.897928,0.001515,-1413263857.428,6478586840.472,2672480669.498,-4.559,0.092,0.240,18808700.866,134006022.336,58084672.454,-30.431,3.283,1.468,0.387229,36.836,16.836
28311,48928,60293.255912,7009964615.297079,-8.630,102.719410,-0.018673,21.897929,0.001515,-1413264032.531,6478586844.011,2672480678.717,-4.559,0.092,0.240,18807532.127,134006148.399,58084728.839,-30.430,3.282,1.468,0.387220,36.836,16.836
28311,59878,60313.171238,7004051454.889090,1.804,102.336595,-0.019908,21.930422,0.001719,-1421108224.186,6478741645.811,2672892154.829,-4.558,0.088,0.238,-32947826.755,131542444.469,57016519.468,-29.921,-6.242,-2.692,0.037415,36.769,16.769
28311,60044,60313.248539,7004064246.993093,2.025,102.335056,-0.019893,21.930553,0.001668,-1421138668.668,6478742232.104,2672893745.930,-4.558,0.088,0.238,-33147484.044,131499997.010,56998487.279,-29.852,-6.464,-2.708,0.038813,36.769,16.769
28311,60045,60313.248987,7004064325.317901,2.026,102.335047,-0.019893,21.930553,0.001668,-1421138844.926,6478742235.498,2672893755.142,-4.558,0.088,0.238,-33148638.327,131499747.053,56998382.570,-29.852,-6.465,-2.708,0.038821,36.769,16.769
28311,60094,60313.272330,7004068475.773164,2.089,102.334583,-0.019875,21.930592,0.001654,-1421148038.434,6478742412.527,2672894235.609,-4.558,0.088,0.238,-33208807.840,131486648.079,56992915.973,-29.814,-6.524,-2.713,0.039248,36.770,16.770
28311,60095,60313.272776,7004068556.419818,2.090,102.334574,-0.019874,21.930593,0.001654,-1421148214.362,6478742415.914,2672894244.803,-4.558,0.088,0.238,-33209958.488,131486396.276,56992811.268,-29.813,-6.525,-2.713,0.039256,36.770,16.770
28311,62098,60316.237894,7004762846.456104,3.628,102.276532,-0.019830,21.935661,0.001678,-1422315987.018,6478764819.612,2672955240.872,-4.558,0.087,0.238,-40720669.972,129702849.810,56219759.563,-29.465,-7.869,-3.320,0.098636,36.786,16.786
28311,62101,60316.239232,7004763266.253062,3.632,102.276505,-0.019829,21.935663,0.001677,-1422316514.206,6478764829.689,2672955268.393,-4.558,0.087,0.238,-40724077.606,129701939.514,56219375.625,-29.463,-7.872,-3.320,0.098664,36.786,16.786
28311,62148,60316.261534,7004770322.307340,3.692,102.276063,-0.019812,21.935700,0.001663,-1422325297.399,6478764997.569,2672955726.910,-4.558,0.087,0.238,-40780814.972,129686714.962,56212974.309,-29.427,-7.929,-3.324,0.099134,36.786,16.786
28311,62151,60316.262872,7004770749.284595,3.695,102.276037,-0.019810,21.935703,0.001663,-1422325824.339,6478765007.641,2672955754.419,-4.558,0.087,0.238,-40784216.605,129685798.170,56212589.985,-29.424,-7.932,-3.325,0.099162,36.786,16.786
28311,62715,60317.196667,7005074616.500765,4.055,102.257826,-0.019810,21.937304,0.001704,-1422693580.615,6478772028.601,2672974949.387,-4.558,0.087,0.238,-43125764.620,129050061.782,55936636.268,-29.361,-8.229,-3.514,0.118619,36.790,16.790
28311,62765,60317.220350,7005082983.305861,4.123,102.257357,-0.019802,21.937344,0.001689,-1422702907.727,6478772206.451,2672975436.126,-4.558,0.087,0.238,-43185818.832,129033154.650,55929440.542,-29.335,-8.296,-3.519,0.119121,36.790,16.790
28311,66102,60322.163503,7007372627.412127,6.665,102.161619,-0.019511,21.945819,0.001716,-1424649617.329,6478809098.489,2673076933.351,-4.558,0.086,0.237,-55378584.395,125076247.863,54214122.102,-28.489,-10.467,-4.507,0.222607,36.811,16.811
28311,66152,60322.187174,7007386329.012585,6.734,102.161157,-0.019507,21.945860,0.001700,-1424658939.099,6478809274.043,2673077418.919,-4.558,0.086,0.237,-55436829.107,125054770.273,54204900.649,-28.469,-10.536,-4.511,0.223108,36.811,16.811
28311,71053,60329.170430,7012527587.844077,10.371,102.029452,-0.018762,21.957737,0.001670,-1427408932.758,6478860610.205,2673220481.639,-4.558,0.084,0.237,-71915111.369,117843002.220,51078176.503,-26.846,-13.595,-5.835,0.366843,36.835,16.835
28311,76230,60337.111326,7020967895.663117,14.202,101.887564,-0.017518,21.970877,0.001630,-1430535834.294,6478917880.746,2673382705.536,-4.558,0.083,0.236,-89310299.020,107492147.019,46591125.612,-24.569,-16.705,-7.222,0.523221,36.858,16.858
28311,76231,60337.111775,7020968446.467205,14.203,101.887556,-0.017518,21.970878,0.001630,-1430536011.036,6478917883.950,2673382714.691,-4.558,0.083,0.236,-89311251.825,107491499.140,46590845.546,-24.568,-16.707,-7.222,0.523230,36.858,16.858
28311,76280,60337.135043,7020997066.357299,14.269,101.887148,-0.017515,21.970916,0.001614,-1430545172.983,6478918050.026,2673383189.313,-4.558,0.083,0.236,-89360626.422,107457845.581,46576323.479,-24.551,-16.773,-7.226,0.523680,36.858,16.858
28311,76281,60337.135491,7020997618.913455,14.270,101.887140,-0.017514,21.970916,0.001614,-1430545349.454,6478918053.225,2673383198.455,-4.558,0.083,0.236,-89361577.061,107457196.053,46576043.688,-24.550,-16.775,-7.226,0.523689,36.858,16.858
28311,95230,60365.021647,7069760960.822627,25.312,101.499924,-0.010177,22.010560,0.001187,-1441524426.066,6479109868.579,2673949038.313,-4.557,0.077,0.234,-134780009.092,56211526.884,24361968.553,-13.208,-24.983,-10.824,0.969993,36.922,16.922
28311,95252,60365.032844,7069785463.682194,25.341,101.499810,-0.010176,22.010574,0.001179,-1441528834.246,6479109942.699,2673949264.330,-4.557,0.077,0.234,-134792784.979,56187341.513,24351495.739,-13.202,-25.013,-10.825,0.970133,36.922,16.922
28311,125858,60405.007758,7170626288.886820,30.844,101.392788,0.004556,22.037642,0.000096,-1457263154.052,6479359692.757,2674750000.043,-4.555,0.068,0.230,-144309982.317,-36396100.664,-15781079.400,7.078,-26.700,-11.473,1.193554,36.975,16.975
28311,125908,60405.031463,7170689510.938805,30.892,101.392896,0.004586,22.037644,0.000082,-1457272483.061,6479359832.012,2674750471.231,-4.555,0.068,0.230,-144295434.771,-36450829.685,-15804575.431,7.129,-26.743,-11.472,1.193527,36.975,16.975
28311,128632,60407.980223,7178489481.284565,30.641,101.408808,0.005659,22.037932,0.000024,-1458432947.736,6479377074.225,2674809051.313,-4.555,0.067,0.230,-142218974.266,-43142675.734,-18706091.973,8.517,-26.256,-11.299,1.187877,36.977,16.977
28311,128653,60407.990977,7178517962.266387,30.664,101.408869,0.005669,22.037932,0.000017,-1458437179.934,6479377136.807,2674809264.832,-4.555,0.067,0.230,-142211052.271,-43167082.336,-18716590.163,8.536,-26.278,-11.298,1.187853,36.977,16.977
39262,175949,60491.438614,555633898.696782,-16.392,4.510271,0.053592,-10.302117,-0.051360,568231096.199,-94913878.055,-159151689.106,11.347,9.015,-0.980,23247785.029,-137903282.716,-59782912.649,28.919,4.465,1.761,14.571426,26.676,6.676
39262,176989,60492.437328,554220970.378155,-16.333,4.565555,0.049829,-10.354362,-0.053231,569208983.426,-94135740.122,-159235850.114,11.317,9.020,-0.971,25743463.320,-137533101.903,-59622577.613,28.838,4.914,1.956,14.513756,26.671,6.671
39262,180023,60502.414738,540504501.013703,-15.318,4.907024,0.010879,-10.978158,-0.071585,578835277.140,-86339021.945,-160036773.978,11.017,9.067,-0.888,50166862.250,-131727162.446,-57105918.631,27.583,9.319,3.868,13.731061,26.618,6.618
39262,180045,60502.426065,540489523.835614,-15.289,4.907147,0.010858,-10.978968,-0.071556,578846059.203,-86330147.877,-160037642.603,11.016,9.067,-0.887,50193842.083,-131718041.808,-57102131.913,27.553,9.319,3.870,13.729918,26.618,6.618
39262,182368,60505.431204,536565470.667167,-14.794,4.932877,-0.001140,-11.202213,-0.076757,581694961.322,-83974117.754,-160264885.086,10.927,9.080,-0.863,57301812.984,-129233586.450,-56025103.436,26.986,10.588,4.424,13.419951,26.600,6.600
39262,182393,60505.444131,536548966.041530,-14.760,4.932863,-0.001116,-11.203205,-0.076723,581707166.531,-83963975.591,-160265848.859,10.927,9.080,-0.863,57331935.036,-129221763.229,-56020160.661,26.953,10.583,4.427,13.418501,26.600,6.600
39262,184947,60512.348049,528055549.215054,-13.617,4.854453,-0.029126,-11.774135,-0.088423,588164944.769,-78538924.251,-160763927.177,10.725,9.108,-0.807,73074215.451,-122285314.351,-53012000.337,25.668,13.430,5.648,12.578344,26.554,6.554
39262,184997,60512.372335,528027045.298929,-13.552,4.853744,-0.029292,-11.776281,-0.088345,588187449.012,-78519811.562,-160765621.119,10.724,9.108,-0.807,73128004.497,-122257120.231,-53000145.346,25.601,13.442,5.652,12.574990,26.554,6.554
39262,185101,60512.419819,527971710.494200,-13.424,4.852350,-0.029358,-11.780473,-0.088193,588231445.191,-78482441.729,-160768931.956,10.723,9.108,-0.807,73232768.429,-122201971.517,-52976940.211,25.472,13.437,5.660,12.568430,26.554,6.554
39262,185123,60512.429699,527960262.210656,-13.399,4.852060,-0.029330,-11.781344,-0.088163,588240598.573,-78474666.257,-160769620.634,10.722,9.109,-0.807,73254500.704,-122190503.515,-52972107.672,25.446,13.432,5.662,12.567065,26.554,6.554
39262,192337,60529.350131,511492193.011384,-8.541,3.841398,-0.096999,-13.473641,-0.109509,603562273.922,-65114028.174,-161852781.723,10.241,9.167,-0.676,107265281.474,-98438211.735,-42676116.389,20.506,19.624,8.337,9.800813,26.425,6.425
39262,192387,60529.374247,511474465.822028,-8.474,3.839059,-0.096964,-13.476281,-0.109396,603583612.100,-65094927.757,-161854190.809,10.240,9.167,-0.676,107307938.678,-98397328.819,-42658741.179,20.439,19.616,8.341,9.796159,26.424,6.424
39262,195253,60540.251629,505402563.027756,-4.312,2.615993,-0.134524,-14.705865,-0.115453,613066047.245,-56465436.771,-162451861.267,9.940,9.197,-0.596,124728999.644,-78777267.794,-34151897.234,16.489,22.794,9.710,7.618865,26.335,6.335
39262,195303,60540.274700,505394033.368713,-4.246,2.612887,-0.134716,-14.708527,-0.115316,613085860.839,-56447104.913,-162453049.551,9.940,9.197,-0.596,124761801.274,-78731815.796,-34132539.125,16.422,22.809,9.713,7.613985,26.335,6.335
39262,197331,60545.318422,504057467.097108,-1.823,1.915906,-0.149257,-15.290082,-0.114898,617387524.244,-52436733.006,-162704907.589,9.803,9.209,-0.560,131443927.800,-68692183.988,-29781878.911,14.154,24.022,10.244,6.564922,26.294,6.294
39262,197388,60545.345426,504053301.410558,-1.748,1.911877,-0.149108,-15.293183,-0.114727,617410394.965,-52415247.970,-162706213.796,9.802,9.209,-0.560,131476861.966,-68636155.960,-29757974.461,14.078,24.004,10.247,6.559233,26.294,6.294
39262,197438,60545.369618,504049714.593471,-1.685,1.908273,-0.148881,-15.295957,-0.114583,617430882.793,-52395999.978,-162707383.611,9.802,9.209,-0.560,131506221.123,-68586007.118,-29736553.500,14.015,23.979,10.250,6.554142,26.294,6.294
39262,199230,60547.323735,503807320.877531,-0.849,1.619230,-0.154412,-15.520531,-0.114328,619081309.881,-50840853.246,-162800693.692,9.749,9.213,-0.546,133839331.173,-64557865.124,-27990077.091,13.252,24.460,10.438,6.152445,26.279,6.279
39262,200240,60548.356535,503743454.913410,-0.273,1.462326,-0.156581,-15.638745,-0.113742,619950022.423,-50018627.600,-162849069.629,9.721,9.215,-0.538,135012866.859,-62398062.775,-27054396.535,12.712,24.640,10.534,5.942588,26.271,6.271
39262,200284,60548.377703,503743004.212064,-0.220,1.459014,-0.156320,-15.641152,-0.113618,619967801.759,-50001773.164,-162850054.363,9.721,9.215,-0.538,135036067.190,-62353020.923,-27035129.134,12.659,24.613,10.536,5.938244,26.271,6.271
39262,201183,60549.357904,503723679.974841,0.223,1.307845,-0.158896,-15.752977,-0.113285,620789943.071,-49221234.922,-162895354.968,9.695,9.218,-0.531,136111829.654,-60286504.499,-26139177.310,12.253,24.841,10.623,5.741650,26.263,6.263
39262,201227,60549.379774,503724152.986286,0.277,1.304373,-0.158610,-15.755453,-0.113157,620808261.243,-49203817.686,-162896359.069,9.694,9.218,-0.531,136134932.105,-60239592.195,-26119101.520,12.200,24.812,10.626,5.737221,26.263,6.263
39262,207146,60566.175449,509981180.447587,8.619,358.457079,-0.181819,-17.544863,-0.096290,634554087.714,-35805034.274,-163583535.400,9.254,9.247,-0.417,148472898.222,-22712151.787,-9848440.238,4.509,27.241,11.640,3.508171,26.211,6.211
39262,207196,60566.199979,509999522.638423,8.690,358.452617,-0.181927,-17.547222,-0.096073,634573698.445,-35785436.278,-163584418.577,9.253,9.247,-0.417,148482376.205,-22654402.518,-9823770.452,4.435,27.254,11.641,3.507746,26.211,6.211
39262,208975,60568.188225,511588107.883105,9.727,358.098678,-0.182188,-17.734815,-0.092832,636158786.234,-34196689.503,-163654859.019,9.202,9.250,-0.403,149151351.619,-18029730.360,-7819042.114,3.458,27.384,11.697,3.514415,26.223,6.223
39262,209025,60568.212471,511608559.050033,9.798,358.094260,-0.182214,-17.737063,-0.092611,636178062.398,-34177311.652,-163655704.117,9.201,9.250,-0.403,149158519.369,-17972355.641,-7794536.903,3.385,27.390,11.698,3.514924,26.224,6.224
39262,212539,60574.287382,517581121.748042,13.188,357.016034,-0.179274,-18.266866,-0.080821,640966699.687,-29320254.671,-163856949.873,9.047,9.258,-0.364,150134477.909,-3734550.736,-1624580.091,0.112,27.547,11.794,3.956754,26.289,6.289
39262,212540,60574.287829,517581631.581394,13.189,357.015954,-0.179267,-18.266902,-0.080818,640967049.393,-29319896.797,-163856963.931,9.047,9.258,-0.364,150134482.200,-3733485.851,-1624124.145,0.110,27.546,11.794,3.956806,26.289,6.289
39262,212586,60574.310042,517606994.988350,13.241,357.011976,-0.178885,-18.268696,-0.080646,640984410.406,-29302129.686,-163857661.694,9.046,9.258,-0.364,150134639.581,-3680650.256,-1601487.904,0.054,27.512,11.795,3.959368,26.290,6.290
39262,212588,60574.310940,517608021.731925,13.243,357.011815,-0.178868,-18.268768,-0.080640,640985111.758,-29301411.905,-163857689.878,9.046,9.258,-0.364,150134643.714,-3678517.138,-1600573.404,0.052,27.511,11.795,3.959472,26.290,6.290
39262,212636,60574.333906,517634348.931066,13.292,357.007713,-0.178411,-18.270618,-0.080480,641003059.952,-29283042.618,-163858410.986,9.045,9.258,-0.363,150134694.531,-3623968.413,-1577169.507,-0.000,27.470,11.795,3.962123,26.290,6.290
39262,212638,60574.334803,517635379.563818,13.293,357.007553,-0.178392,-18.270690,-0.080475,641003761.247,-29282324.844,-163858439.158,9.045,9.258,-0.363,150134694.457,-3621838.649,-1576254.998,-0.002,27.468,11.795,3.962227,26.290,6.290
39262,214690,60580.251469,525053275.117871,16.218,355.983374,-0.173069,-18.717070,-0.068633,645589401.805,-24548273.962,-164034451.879,8.897,9.264,-0.325,149525146.390,10284581.773,4452614.837,-2.878,27.519,11.773,4.805664,26.381,6.381
39262,214740,60580.276231,525088037.999430,16.279,355.979093,-0.172679,-18.718767,-0.068424,645608433.400,-24528455.274,-164035147.890,8.896,9.264,-0.325,149518916.584,10343422.333,4477802.321,-2.945,27.486,11.773,4.809693,26.382,6.382
39262,215450,60582.140320,527745799.366349,16.925,355.666112,-0.170642,-18.843997,-0.065280,647037353.377,-23036343.145,-164086580.191,8.849,9.266,-0.313,149006056.129,14707073.263,6371373.023,-3.581,27.473,11.739,5.119086,26.413,6.413
39265,74480,60334.321288,584577842.241906,-21.920,197.640037,-0.025096,-30.351420,-0.099250,-564121372.321,-41494743.738,-247112962.995,-2.211,-6.002,-5.787,-83384375.208,111373858.242,48275560.351,-25.106,-15.967,-6.750,13.728961,26.826,6.826
39265,74502,60334.331377,584558743.464007,-21.900,197.639783,-0.025259,-30.352421,-0.099139,-564123299.827,-41499976.303,-247118007.781,-2.211,-6.002,-5.787,-83406247.990,111359936.491,48269675.853,-25.078,-15.975,-6.752,13.728625,26.826,6.826
39265,84033,60347.277596,560809321.424562,-20.654,196.951361,-0.088959,-31.502249,-0.078930,-566398791.320,-48199141.219,-253504153.747,-1.859,-5.975,-5.631,-109016434.186,91212247.898,39536687.757,-20.668,-20.691,-8.800,13.029235,26.728,6.728
39265,84083,60347.302200,560765468.989210,-20.603,196.949167,-0.089374,-31.504187,-0.078626,-566402742.002,-48211842.689,-253516124.437,-1.858,-5.974,-5.631,-109060294.508,91168241.646,39517977.413,-20.597,-20.709,-8.803,13.027277,26.728,6.728
39265,87808,60352.236481,552218641.903605,-19.810,196.465916,-0.113621,-31.864639,-0.069238,-567166637.914,-50756613.659,-255904045.017,-1.726,-5.963,-5.571,-117402954.927,82178504.571,35620067.124,-18.719,-22.211,-9.470,12.602173,26.686,6.686
39265,87858,60352.261565,552175759.999459,-19.761,196.463059,-0.114143,-31.866372,-0.068941,-567170377.361,-50769537.972,-255916119.781,-1.725,-5.963,-5.571,-117443449.330,82130333.967,35599539.934,-18.649,-22.240,-9.473,12.599748,26.685,6.685
39265,89817,60355.275222,547159926.774634,-19.063,196.107272,-0.129442,-32.061245,-0.062065,-567609076.407,-52321307.181,-257362003.690,-1.645,-5.956,-5.534,-122104691.937,76328207.608,33084423.050,-17.301,-23.097,-9.840,12.297987,26.658,6.658
39265,89867,60355.300052,547119089.533789,-19.007,196.104054,-0.129781,-32.062781,-0.061721,-567612604.102,-52334084.628,-257373877.320,-1.644,-5.956,-5.534,-122141728.956,76278643.818,33063308.980,-17.227,-23.107,-9.843,12.295314,26.658,6.658
